genre,date,count
Beat,1964,0.79
Beat,1965,0.0
Beat,1966,0.0
Beat,1967,0.0
Beat,1968,0.0
Beat,1969,0.0
Beat,1970,0.0
Beat,1971,0.0
Beat,1972,0.0
Beat,1973,0.0
Beat,1974,0.0
Beat,1975,0.0
Beat,1976,0.0
Beat,1977,0.0
Beat,1978,0.0
Beat,1979,0.0
Beat,1980,0.0
Beat,1981,0.0
Beat,1982,0.0
Beat,1983,0.0
Beat,1984,0.0
Beat,1985,0.0
Beat,1986,0.0
Beat,1987,0.0
Beat,1988,0.0
Beat,1989,0.0
Beat,1990,0.0
Beat,1991,0.0
Beat,1992,0.0
Beat,1993,0.0
Beat,1994,0.0
Beat,1995,0.0
Beat,1996,0.0
Beat,1997,0.0
Beat,1998,0.0
Beat,1999,0.0
Beat,2000,0.0
Beat,2001,0.0
Beat,2002,0.0
Beat,2003,0.0
Beat,2004,0.0
Beat,2005,0.0
Beat,2006,0.0
Beat,2007,0.0
Beat,2008,0.0
Beat,2009,0.0
Beat,2010,0.0
Beat,2011,0.0
Beat,2012,0.0
Beat,2013,0.0
Beat,2014,0.0
Beat,2015,0.0
Beat,2016,0.0
Beat,2017,0.0
Beat,2018,0.0
Beat,2019,0.0
Beat,2020,0.0
Blues rock,1954,0.0
Blues rock,1955,0.0
Blues rock,1956,0.0
Blues rock,1957,0.0
Blues rock,1958,0.0
Blues rock,1959,14.29
Blues rock,1960,3.57
Blues rock,1961,16.67
Blues rock,1962,3.33
Blues rock,1963,3.03
Blues rock,1964,4.76
Blues rock,1965,3.1
Blues rock,1966,2.91
Blues rock,1967,7.62
Blues rock,1968,6.0
Blues rock,1969,10.87
Blues rock,1970,1.45
Blues rock,1971,0.0
Blues rock,1972,5.66
Blues rock,1973,3.12
Blues rock,1974,3.64
Blues rock,1975,0.0
Blues rock,1976,3.12
Blues rock,1977,2.27
Blues rock,1978,0.0
Blues rock,1979,3.09
Blues rock,1980,1.32
Blues rock,1981,0.91
Blues rock,1982,0.0
Blues rock,1983,1.49
Blues rock,1984,2.05
Blues rock,1985,0.0
Blues rock,1986,3.52
Blues rock,1987,1.33
Blues rock,1988,1.8
Blues rock,1989,1.63
Blues rock,1990,1.64
Blues rock,1991,0.47
Blues rock,1992,0.76
Blues rock,1993,1.39
Blues rock,1994,1.42
Blues rock,1995,0.7
Blues rock,1996,1.38
Blues rock,1997,0.63
Blues rock,1998,1.63
Blues rock,1999,1.61
Blues rock,2000,2.2
Blues rock,2001,0.85
Blues rock,2002,1.21
Blues rock,2003,1.15
Blues rock,2004,0.78
Blues rock,2005,0.73
Blues rock,2006,0.45
Blues rock,2007,0.84
Blues rock,2008,1.23
Blues rock,2009,3.16
Blues rock,2010,1.48
Blues rock,2011,2.69
Blues rock,2012,2.22
Blues rock,2013,2.02
Blues rock,2014,0.0
Blues rock,2015,0.0
Blues rock,2016,0.0
Blues rock,2017,0.0
Blues rock,2018,0.0
Blues rock,2019,0.0
Blues rock,2020,0.0
Country rock,1954,0.0
Country rock,1955,0.0
Country rock,1956,0.0
Country rock,1957,0.0
Country rock,1958,0.0
Country rock,1959,14.29
Country rock,1960,0.0
Country rock,1961,0.0
Country rock,1962,0.0
Country rock,1963,0.0
Country rock,1964,2.38
Country rock,1965,0.0
Country rock,1966,1.94
Country rock,1967,4.76
Country rock,1968,12.0
Country rock,1969,7.61
Country rock,1970,4.35
Country rock,1971,11.36
Country rock,1972,7.55
Country rock,1973,1.56
Country rock,1974,7.27
Country rock,1975,0.0
Country rock,1976,0.0
Country rock,1977,1.14
Country rock,1978,1.54
Country rock,1979,1.03
Country rock,1980,0.0
Country rock,1981,0.0
Country rock,1982,1.32
Country rock,1983,0.75
Country rock,1984,0.0
Country rock,1985,1.47
Country rock,1986,0.0
Country rock,1987,0.67
Country rock,1988,1.8
Country rock,1989,1.63
Country rock,1990,0.0
Country rock,1991,0.0
Country rock,1992,0.0
Country rock,1993,0.0
Country rock,1994,0.35
Country rock,1995,0.35
Country rock,1996,0.0
Country rock,1997,0.31
Country rock,1998,1.95
Country rock,1999,0.54
Country rock,2000,0.28
Country rock,2001,0.43
Country rock,2002,0.48
Country rock,2003,0.58
Country rock,2004,0.39
Country rock,2005,0.36
Country rock,2006,0.68
Country rock,2007,1.12
Country rock,2008,0.92
Country rock,2009,0.63
Country rock,2010,0.37
Country rock,2011,1.35
Country rock,2012,0.0
Country rock,2013,0.0
Country rock,2014,0.0
Country rock,2015,0.0
Country rock,2016,0.0
Country rock,2017,0.0
Country rock,2018,0.0
Country rock,2019,0.0
Country rock,2020,0.0
Dance-rock,1954,0.0
Dance-rock,1955,0.0
Dance-rock,1956,0.0
Dance-rock,1957,0.0
Dance-rock,1958,0.0
Dance-rock,1959,0.0
Dance-rock,1960,0.0
Dance-rock,1961,0.0
Dance-rock,1962,0.0
Dance-rock,1963,0.0
Dance-rock,1964,0.0
Dance-rock,1965,0.0
Dance-rock,1966,0.0
Dance-rock,1967,0.0
Dance-rock,1968,0.0
Dance-rock,1969,0.0
Dance-rock,1970,1.45
Dance-rock,1971,0.0
Dance-rock,1972,0.0
Dance-rock,1973,0.0
Dance-rock,1974,0.0
Dance-rock,1975,2.22
Dance-rock,1976,0.0
Dance-rock,1977,0.0
Dance-rock,1978,0.0
Dance-rock,1979,1.03
Dance-rock,1980,1.32
Dance-rock,1981,0.0
Dance-rock,1982,0.0
Dance-rock,1983,0.75
Dance-rock,1984,0.68
Dance-rock,1985,0.0
Dance-rock,1986,0.7
Dance-rock,1987,0.0
Dance-rock,1988,0.9
Dance-rock,1989,0.0
Dance-rock,1990,0.0
Dance-rock,1991,0.0
Dance-rock,1992,0.0
Dance-rock,1993,0.0
Dance-rock,1994,0.0
Dance-rock,1995,0.0
Dance-rock,1996,0.0
Dance-rock,1997,0.0
Dance-rock,1998,0.0
Dance-rock,1999,0.27
Dance-rock,2000,0.0
Dance-rock,2001,0.21
Dance-rock,2002,0.24
Dance-rock,2003,0.58
Dance-rock,2004,0.2
Dance-rock,2005,0.36
Dance-rock,2006,0.45
Dance-rock,2007,0.0
