band,link,genres,start_year,end_year,hits
sparrow and the workshop,http://dbpedia.org/resource/Sparrow_and_the_Workshop,Indie rock|Indietronica,2008,0,0
special duties (band),http://dbpedia.org/resource/Special_Duties,Punk rock,1977,1983,0
van der graaf generator,http://dbpedia.org/resource/Van_der_Graaf_Generator,Art rock|Experimental rock|Progressive rock,1967,1972,2
10cc,http://dbpedia.org/resource/10cc,Art rock|Soft rock,1972,0,0
1990s,http://dbpedia.org/resource/1990s_(band),Garage rock|Indie rock|Indietronica|Power pop,2004,2013,0
22-20s,http://dbpedia.org/resource/22-20s,Blues rock|Indie rock|Indietronica|Rock music,2002,2005,0
350px|,http://dbpedia.org/resource/Dragnerve,Hard rock|Heavy metal,2007,2007,0
4ft fingers,http://dbpedia.org/resource/4ft_Fingers,Punk rock|Rock music,1996,0,0
60 ft. dolls,http://dbpedia.org/resource/60_Ft._Dolls,Hard rock,1993,1998,0
999,http://dbpedia.org/resource/999_(band),Punk rock,1977,1982,0
[dweeb],http://dbpedia.org/resource/Dweeb_(band),Alternative rock,2002,2011,0
a ii z,http://dbpedia.org/resource/A_II_Z,Heavy metal,1979,1982,0
a poetic yesterday,http://dbpedia.org/resource/A_Poetic_Yesterday,Rock music,2005,0,0
a.c. marias,http://dbpedia.org/resource/A.C._Marias,Alternative rock,1986,1990,0
abc,http://dbpedia.org/resource/ABC_(band),New wave,1980,1980,0
abdoujaparov,http://dbpedia.org/resource/Abdoujaparov,Alternative rock|Post-punk,1998,0,0
abrasive wheels,http://dbpedia.org/resource/Abrasive_Wheels,Punk rock,1976,1984,0
absentee,http://dbpedia.org/resource/Absentee_(band),Alternative rock,2003,0,0
ac acoustics,http://dbpedia.org/resource/AC_Acoustics,Alternative rock,1990,2003,0
adorable,http://dbpedia.org/resource/Adorable_(band),Alternative rock,1990,1994,0
aereogramme,http://dbpedia.org/resource/Aereogramme_(band),Alternative rock|Post-rock,1998,2007,0
agaskodo teliverek,http://dbpedia.org/resource/Agaskodo_Teliverek,Noise rock|Surf music,2006,2009,0
airhead,http://dbpedia.org/resource/Airhead_(band),Indie rock|Indietronica,1991,1991,1
airship,http://dbpedia.org/resource/Airship_(band),Alternative rock,2004,0,0
amplifico,http://dbpedia.org/resource/Amplifico,Alternative rock,2004,0,0
amplifier,http://dbpedia.org/resource/Amplifier_(band),Alternative rock|Progressive rock|Psychedelic rock,1999,1999,1
amy blue,http://dbpedia.org/resource/Amy_Blue,Alternative rock,2003,0,0
anti-pasti,http://dbpedia.org/resource/Anti-Pasti,Punk rock,1978,1978,0
antlered man,http://dbpedia.org/resource/Antlered_Man,Alternative rock,2003,0,0
apartment,http://dbpedia.org/resource/Apartment_(London_band),Alternative rock,2005,2005,4
apple,http://dbpedia.org/resource/Apple_(band),Psychedelic rock,1968,1969,0
arnold,http://dbpedia.org/resource/Arnold_(band),Alternative rock,1996,2000,0
artery,http://dbpedia.org/resource/Artery_(band),Post-punk,1978,1985,0
eat lights become lights,http://dbpedia.org/resource/Eat_Lights_Become_Lights,Alternative rock|Indie rock|Indietronica,2007,0,0
65daysofstatic,http://dbpedia.org/resource/65daysofstatic,Experimental rock|Post-rock,2001,0,0
a silent film,http://dbpedia.org/resource/A_Silent_Film,Alternative rock,2005,0,0
adopted as holograph,http://dbpedia.org/resource/Adopted_as_Holograph,Alternative rock|Baroque pop,2009,0,0
arcane roots,http://dbpedia.org/resource/Arcane_Roots,Alternative rock|Progressive rock,2007,0,0
archean soundtrack,http://dbpedia.org/resource/Archean_Soundtrack,Alternative rock|Progressive rock|Rock music,2009,0,0
arkitekt,http://dbpedia.org/resource/Arkitekt,Rock music,2007,2007,0
ash,http://dbpedia.org/resource/Ash_(band),Alternative rock|Indie rock|Indietronica|Power pop,1992,1992,0
atom seed,http://dbpedia.org/resource/Atom_Seed,Hard rock,1989,1993,0
freddie and the dreamers,http://dbpedia.org/resource/Freddie_and_the_Dreamers,Beat,1963,2000,0
katrina and the waves,http://dbpedia.org/resource/Katrina_and_the_Waves,New wave|Rock music,1981,1999,3
a witness,http://dbpedia.org/resource/A_Witness,Indie rock|Indietronica,1982,1982,0
a1,http://dbpedia.org/resource/A1_(band),Pop rock,1998,2002,0
ace,http://dbpedia.org/resource/Ace_(band),Pop rock|Soft rock,1972,1977,0
alabama 3,http://dbpedia.org/resource/Alabama_3,Alternative rock,1996,0,1
altered images,http://dbpedia.org/resource/Altered_Images,New wave|Post-punk,1979,1983,0
and also the trees,http://dbpedia.org/resource/And_Also_the_Trees,Post-punk,1979,0,0
angelfish,http://dbpedia.org/resource/Angelfish_(band),Alternative rock,1992,1994,1
angelic upstarts,http://dbpedia.org/resource/Angelic_Upstarts,Punk rock,1977,1977,0
anima pop,http://dbpedia.org/resource/Anima_pop,Post-punk,2006,2010,0
animal kingdom,http://dbpedia.org/resource/Animal_Kingdom_(band),Alternative rock|Indie rock|Indietronica,2008,2008,0
associates,http://dbpedia.org/resource/Associates_(band),Post-punk,1979,1990,6
astronauts,http://dbpedia.org/resource/Astronauts_(band),Rock music,2013,0,0
athlete,http://dbpedia.org/resource/Athlete_(band),Alternative rock|Indie rock|Indietronica,2000,0,0
atomic mass,http://dbpedia.org/resource/Atomic_Mass_(band),Hard rock|Heavy metal,1977,1977,0
attack! attack!,http://dbpedia.org/resource/Attack!_Attack!_(Welsh_band),Alternative rock|Power pop,2006,2013,0
bandit queen,http://dbpedia.org/resource/Bandit_Queen_(band),Indie rock|Indietronica,1992,1992,1
battleaxe,http://dbpedia.org/resource/Battleaxe_(band),Heavy metal,1980,1988,0
beachbuggy,http://dbpedia.org/resource/Beachbuggy,Alternative rock|Punk rock,1992,2006,0
darren hayman & the secondary modern,http://dbpedia.org/resource/Darren_Hayman_&_the_Secondary_Modern,Folk rock|Indie rock|Indietronica,2007,0,0
goodbye mr. mackenzie,http://dbpedia.org/resource/Goodbye_Mr._Mackenzie,Alternative rock|Indie rock|Indietronica,1981,1981,0
isa & the filthy tongues,http://dbpedia.org/resource/Isa_&_the_Filthy_Tongues,Alternative rock,2005,0,0
johnny kidd & the pirates,http://dbpedia.org/resource/Johnny_Kidd_&_the_Pirates,Beat,1959,1966,1
madfox (formerly  the yeah you's),http://dbpedia.org/resource/Madfox,Pop rock,2007,0,0
martin turner's wishbone ash,http://dbpedia.org/resource/Martin_Turner's_Wishbone_Ash,Hard rock|Progressive rock|Rock music,2005,2005,0
michael schenker group,http://dbpedia.org/resource/Michael_Schenker_Group,Hard rock|Heavy metal,1979,1979,0
mother and the addicts,http://dbpedia.org/resource/Mother_and_the_Addicts,Indie rock|Indietronica,2003,2008,0
motion picture soundtrack,http://dbpedia.org/resource/Motion_Picture_Soundtrack,Alternative rock,2003,0,0
new fast automatic daffodils,http://dbpedia.org/resource/New_Fast_Automatic_Daffodils,Alternative rock,1988,1995,0
ocean bottom nightmare,http://dbpedia.org/resource/Ocean_Bottom_Nightmare,Alternative rock|Punk rock,2007,0,0
orchestral manoeuvres in the dark,http://dbpedia.org/resource/Orchestral_Manoeuvres_in_the_Dark,New wave|Post-punk,1978,1996,0
peter jay and the jaywalkers,http://dbpedia.org/resource/Peter_Jay_and_the_Jaywalkers,Beat,1960,1966,0
poisoned electrick head,http://dbpedia.org/resource/Poisoned_Electrick_Head,Indie rock|Indietronica|New wave|Post-punk|Psychedelic rock,1986,1998,0
primal rock rebellion,http://dbpedia.org/resource/Primal_Rock_Rebellion,Heavy metal,2011,0,0
public service broadcasting,http://dbpedia.org/resource/Public_Service_Broadcasting_(band),Alternative rock|Art rock|Indie rock|Indietronica,2009,0,1
pulled apart by horses,http://dbpedia.org/resource/Pulled_Apart_by_Horses,Alternative rock|Experimental rock,2008,0,0
red lorry yellow lorry,http://dbpedia.org/resource/Red_Lorry_Yellow_Lorry,Post-punk,1981,1991,2
reverend and the makers,http://dbpedia.org/resource/Reverend_and_The_Makers,Dance-rock|Indie rock|Indietronica,2005,2005,0
rosie and the goldbug,http://dbpedia.org/resource/Rosie_and_the_Goldbug,Indie rock|Indietronica,2007,0,0
shooting at unarmed men,http://dbpedia.org/resource/Shooting_at_Unarmed_Men,Post-punk|Rock music,1999,2009,0
slaughter and the dogs,http://dbpedia.org/resource/Slaughter_&_The_Dogs,Hard rock|Punk rock,1975,1979,0
the cooper temple clause,http://dbpedia.org/resource/The_Cooper_Temple_Clause,Alternative rock,1998,2007,1
the mighty lemon drops,http://dbpedia.org/resource/The_Mighty_Lemon_Drops,Alternative rock|Indie rock|Indietronica,1985,1992,1
(the) locomotive,http://dbpedia.org/resource/Locomotive_(band),Progressive rock,1965,1970,0
"dave dee, dozy, beaky, mick & tich","http://dbpedia.org/resource/Dave_Dee,_Dozy,_Beaky,_Mick_&_Tich",Pop rock,1964,0,0
starry eyed and laughing,http://dbpedia.org/resource/Starry_Eyed_and_Laughing,Country rock|Folk rock|Rock music,1973,1976,0
strawberry switchblade,http://dbpedia.org/resource/Strawberry_Switchblade,New wave|Pop rock,1981,1986,1
