band,link,genres,start_year,end_year,hits
endgames,http://dbpedia.org/resource/Endgames_(band),New wave,1980,1985,0
enemies,http://dbpedia.org/resource/Enemies_(band),Post-rock,2007,0,0
engine,http://dbpedia.org/resource/Engine_(UK_band),Blues rock|Hard rock,1979,1979,0
enochian theory,http://dbpedia.org/resource/Enochian_Theory,Heavy metal|Progressive rock,2004,0,0
enormous,http://dbpedia.org/resource/Enormous_(band),Indie rock|Indietronica|Power pop,1992,1992,0
enter shikari,http://dbpedia.org/resource/Enter_Shikari,Alternative rock|Experimental rock,1999,1999,0
episode six,http://dbpedia.org/resource/Episode_Six,Pop rock,1965,1974,0
erasure,http://dbpedia.org/resource/Erasure,New wave,1985,0,21
esoterica,http://dbpedia.org/resource/ESO_(band),Alternative rock,1996,2014,2
esprit d'air,http://dbpedia.org/resource/Esprit_D'Air,Alternative rock,2010,2013,0
joe lean & the jing jang jong,http://dbpedia.org/resource/Joe_Lean_&_The_Jing_Jang_Jong,Indie rock|Indietronica,2007,2007,0
the future kings of england,http://dbpedia.org/resource/The_Future_Kings_of_England,Progressive rock,2003,0,0
crass,http://dbpedia.org/resource/Crass,Punk rock,1977,1984,0
drinking electricity,http://dbpedia.org/resource/Drinking_Electricity,Post-punk,1980,1982,0
eat,http://dbpedia.org/resource/Eat_(band),Alternative rock,1986,1995,0
ether,http://dbpedia.org/resource/Ether_(band),Alternative rock,1996,1999,0
euphoria choir,http://dbpedia.org/resource/Euphoria_Show_Choir,Rock music,2010,2015,0
evans the death,http://dbpedia.org/resource/Evans_The_Death,Indie rock|Indietronica,2011,0,1
everything on red,http://dbpedia.org/resource/Everything_on_Red,Punk rock,2007,2007,0
ex pistols,http://dbpedia.org/resource/Ex_Pistols,Punk rock,1979,1992,0
exile parade,http://dbpedia.org/resource/Exile_Parade,Hard rock|Rock music,2006,2014,0
exit calm,http://dbpedia.org/resource/Exit_Calm,Alternative rock|Indie rock|Indietronica,2006,2015,0
exit state,http://dbpedia.org/resource/Exit_State,Alternative rock|Hard rock|Heavy metal|Rock music,2005,0,0
factory star,http://dbpedia.org/resource/Factory_Star,Alternative rock,2008,0,0
failsafe,http://dbpedia.org/resource/Failsafe_(UK_band),Alternative rock,2000,0,0
family,http://dbpedia.org/resource/Family_(band),Hard rock|Progressive rock|Psychedelic rock,1966,1973,0
family fodder,http://dbpedia.org/resource/Family_Fodder,Indie rock|Indietronica,1970,0,0
fanfarlo,http://dbpedia.org/resource/Fanfarlo,Alternative rock|Indie rock|Indietronica,2006,0,3
fans of kate,http://dbpedia.org/resource/Fans_of_Kate,Indie rock|Indietronica,2004,2004,0
farrah,http://dbpedia.org/resource/Farrah_(band),Indie rock|Indietronica|Power pop,1999,0,2
fashion,http://dbpedia.org/resource/Fashion_(band),New wave|Post-punk,1978,1978,3
fat mattress,http://dbpedia.org/resource/Fat_Mattress,Folk rock|Progressive rock|Psychedelic rock,1968,1968,1
fat tulips,http://dbpedia.org/resource/Fat_Tulips,Indie rock|Indietronica,1987,1987,0
fatima mansions,http://dbpedia.org/resource/The_Fatima_Mansions,Alternative rock,1988,1995,4
feeder,http://dbpedia.org/resource/Feeder,Alternative rock|Indie rock|Indietronica|Post-punk|Power pop,1992,0,3
fell on black days,http://dbpedia.org/resource/Fell_on_Black_Days_(band),Hard rock|Heavy metal,2007,2013,0
felt,http://dbpedia.org/resource/Felt_(band),Alternative rock|Post-punk,1979,1979,2
fen,http://dbpedia.org/resource/Fen_(band),Post-rock,2006,0,0
ffs,http://dbpedia.org/resource/FFS_(band),Art rock|Dance-rock,2014,0,0
fiat lux,http://dbpedia.org/resource/Fiat_Lux_(band),New wave,1982,1985,0
fiction factory,http://dbpedia.org/resource/Fiction_Factory,New wave,1983,1987,0
fiction plane,http://dbpedia.org/resource/Fiction_Plane,Alternative rock,1999,0,1
field music,http://dbpedia.org/resource/Field_Music,Art rock|Indie rock|Indietronica,2004,0,2
fig 4.0,http://dbpedia.org/resource/Fig.4.0,Punk rock,1999,2004,0
fighting kites,http://dbpedia.org/resource/Fighting_Kites,Indie rock|Indietronica,2006,0,0
fighting with wire,http://dbpedia.org/resource/Fighting_with_Wire,Rock music,2003,2013,0
films of colour,http://dbpedia.org/resource/Films_of_Colour,Alternative rock,2008,2008,0
fine young cannibals,http://dbpedia.org/resource/Fine_Young_Cannibals,Alternative rock|New wave,1984,1992,9
fink,http://dbpedia.org/resource/Fink_(singer),Indie rock|Indietronica,1993,0,0
fire next time,http://dbpedia.org/resource/Fire_Next_Time_(band),New wave|Power pop,1986,1988,0
first house,http://dbpedia.org/resource/First_House_(band),Jazz fusion|Jazz rock,1983,1990,1
first signs of frost,http://dbpedia.org/resource/First_Signs_of_Frost,Alternative rock|Progressive rock,2004,2004,0
fist,http://dbpedia.org/resource/Fist_(band),Hard rock|Heavy metal,1978,1982,1
five thirty,http://dbpedia.org/resource/Five_Thirty,Indie rock|Indietronica,1984,1984,0
flag of convenience,http://dbpedia.org/resource/Flag_of_Convenience_(band),Alternative rock|Indie rock|Indietronica|New wave|Post-punk,1982,1982,1
flash,http://dbpedia.org/resource/Flash_(band),Progressive rock,1971,1973,0
flash fiktion,http://dbpedia.org/resource/Flash_Fiktion,Indie rock|Indietronica,2009,2013,0
flats,http://dbpedia.org/resource/Flats_(band),Punk rock,2010,0,0
flesh for lulu,http://dbpedia.org/resource/Flesh_for_Lulu,Alternative rock|New wave,1982,1992,0
floyd london,http://dbpedia.org/resource/Floyd_London,Hard rock|Heavy metal,1988,1988,0
fluffy,http://dbpedia.org/resource/Fluffy_(band),Punk rock,1994,1998,2
flux of pink indians,http://dbpedia.org/resource/Flux_of_Pink_Indians,Post-punk|Punk rock,1980,1986,0
fm,http://dbpedia.org/resource/FM_(British_band),Hard rock,1984,1995,5
foals,http://dbpedia.org/resource/Foals_(band),Alternative rock|Art rock|Indie rock|Indietronica,2005,0,0
foreign legion,http://dbpedia.org/resource/Foreign_Legion_(band),Punk rock,1984,1991,2
forest,http://dbpedia.org/resource/Forest_(band),Folk rock,1966,1966,0
former utopia,http://dbpedia.org/resource/Former_Utopia,Rock music,2006,0,0
found,http://dbpedia.org/resource/Found_(band),Experimental rock,2001,0,0
foxes faux,http://dbpedia.org/resource/Foxes_Faux,Rock music,2009,0,0
foxface,http://dbpedia.org/resource/Foxface_(band),Alternative rock|Indie rock|Indietronica,2003,2003,0
francesqa,http://dbpedia.org/resource/Francesqa,Rock music,2009,2011,0
francis monkman,http://dbpedia.org/resource/Francis_Monkman,Progressive rock,1960,0,0
franz ferdinand,http://dbpedia.org/resource/Franz_Ferdinand_(band),Art rock|Dance-rock|Indie rock|Indietronica,2002,0,85
fretblanket,http://dbpedia.org/resource/Fretblanket,Power pop,1987,0,0
freur,http://dbpedia.org/resource/Freur,New wave,1982,0,1
fridge,http://dbpedia.org/resource/Fridge_(band),Post-rock,1995,0,1
friendly fires,http://dbpedia.org/resource/Friendly_Fires,Indie rock|Indietronica,2006,0,2
frightened rabbit,http://dbpedia.org/resource/Frightened_Rabbit,Indie rock|Indietronica,2003,0,3
fruupp,http://dbpedia.org/resource/Fruupp,Progressive rock,1971,1976,0
fudge tunnel,http://dbpedia.org/resource/Fudge_Tunnel,Noise rock,1988,1995,1
fumble,http://dbpedia.org/resource/Fumble_(band),Rock music,1967,1982,0
funboy five,http://dbpedia.org/resource/Funboy_Five,Post-punk,1979,1981,0
funky junction,http://dbpedia.org/resource/Funky_Junction,Rock music,1972,1972,0
furthest drive home,http://dbpedia.org/resource/Furthest_Drive_Home,Pop rock,2003,2003,0
fury uk,http://dbpedia.org/resource/Fury_UK,Heavy metal,2002,0,0
fusion orchestra,http://dbpedia.org/resource/Fusion_Orchestra,Progressive rock,1969,1975,0
future of the left,http://dbpedia.org/resource/Future_of_the_Left,Alternative rock|Noise rock,2005,0,0
futures,http://dbpedia.org/resource/Futures_(band),Alternative rock|Rock music,2009,2012,0
fuzzy duck,http://dbpedia.org/resource/Fuzzy_Duck_(band),Hard rock|Progressive rock,1970,1971,0
fvk,http://dbpedia.org/resource/FVK_(band),Alternative rock|Rock music,2008,2016,0
gallagher and lyle,http://dbpedia.org/resource/Gallagher_and_Lyle,Blues rock|Country rock|Folk rock|Pop rock|Soft rock,1972,1980,0
gallon drunk,http://dbpedia.org/resource/Gallon_Drunk,Alternative rock|Post-punk,1988,1988,0
gandalf's fist,http://dbpedia.org/resource/Gandalf's_Fist,Progressive rock,2005,0,0
gang of four,http://dbpedia.org/resource/Gang_of_Four_(band),Funk rock|Post-punk,1977,1984,43
garden wall,http://dbpedia.org/resource/Garden_Wall_(band),Rock music,1965,1967,0
gay dad,http://dbpedia.org/resource/Gay_Dad,Alternative rock|Indie rock|Indietronica,1994,2002,0
gaye bykers on acid,http://dbpedia.org/resource/Gaye_Bykers_on_Acid,Psychedelic rock|Rock music,1984,1990,0
gene,http://dbpedia.org/resource/Gene_(band),Alternative rock,1993,2004,0
general fiasco,http://dbpedia.org/resource/General_Fiasco,Alternative rock|Indie rock|Indietronica,2007,2013,0
generation x,http://dbpedia.org/resource/Generation_X_(band),Punk rock,1976,0,23
genesis,http://dbpedia.org/resource/Genesis_(band),Art rock|Pop rock|Progressive rock,1967,1998,163
geneva,http://dbpedia.org/resource/Geneva_(band),Alternative rock|Art rock|Indie rock|Indietronica,1992,2000,0
gengahr,http://dbpedia.org/resource/Gengahr,Indie rock|Indietronica,2013,2013,0
geometrics,http://dbpedia.org/resource/Geometrics,Alternative rock|Indie rock|Indietronica|Rock music,2008,0,0
ghost dance,http://dbpedia.org/resource/Ghost_Dance_(band),Post-punk,1985,1985,2
giallo queens,http://dbpedia.org/resource/Giallo_Queens,Rock music,1971,0,0
girl,http://dbpedia.org/resource/Girl_(band),Glam rock|Hard rock,1979,1982,9
girls at our best!,http://dbpedia.org/resource/Girls_at_Our_Best!,Post-punk,1979,1982,0
girls names,http://dbpedia.org/resource/Girls_Names,Alternative rock|Post-punk,2009,0,0
glass animals,http://dbpedia.org/resource/Glass_Animals,Indie rock|Indietronica,2012,0,0
glasvegas,http://dbpedia.org/resource/Glasvegas,Indie rock|Indietronica,2003,2003,4
go-kart mozart,http://dbpedia.org/resource/Go-Kart_Mozart,Glam rock,1998,1998,0
go:audio,http://dbpedia.org/resource/Go:Audio,Pop rock,2006,2009,0
goats don't shave,http://dbpedia.org/resource/Goats_Don't_Shave,Folk rock,2003,2003,0
god damn,http://dbpedia.org/resource/God_Damn_(band),Rock music,2010,0,0
godley & creme,http://dbpedia.org/resource/Godley_&_Creme,New wave|Pop rock|Rock music,1977,1977,2
gogmagog,http://dbpedia.org/resource/Gogmagog_(band),Hard rock,1985,1985,0
goldblade,http://dbpedia.org/resource/Goldblade,Punk rock,1996,0,0
golden silvers,http://dbpedia.org/resource/Golden_Silvers,Art rock,2008,2010,0
goldhawks,http://dbpedia.org/resource/Goldhawks,Rock music,2009,2011,0
goldheart assembly,http://dbpedia.org/resource/Goldheart_Assembly,Alternative rock,2007,0,0
gomez,http://dbpedia.org/resource/Gomez_(band),Alternative rock|Indie rock|Indietronica,1997,0,0
good shoes,http://dbpedia.org/resource/Good_Shoes,Indie rock|Indietronica,2004,0,0
goodbooks,http://dbpedia.org/resource/GoodBooks,Indie rock|Indietronica,2005,2009,0
gorillaz,http://dbpedia.org/resource/Gorillaz,Alternative rock,1998,0,62
grade 2,http://dbpedia.org/resource/Grade_2_(band),Punk rock,2013,0,0
graduate,http://dbpedia.org/resource/Graduate_(band),New wave,1978,1981,0
grammatics,http://dbpedia.org/resource/Grammatics,Alternative rock|Indie rock|Indietronica,2006,2010,0
grand drive,http://dbpedia.org/resource/Grand_Drive,Country rock,1997,0,0
grand theft audio,http://dbpedia.org/resource/Grand_Theft_Audio,Alternative rock|Indie rock|Indietronica,1998,2003,0
grant austin taylor,http://dbpedia.org/resource/Grant_Austin_Taylor,Rock music,2003,0,0
grapefruit,http://dbpedia.org/resource/Grapefruit_(band),Baroque pop|Psychedelic rock,1967,1969,4
great cynics,http://dbpedia.org/resource/Great_Cynics,Indie rock|Indietronica|Punk rock,2009,2009,0
grim reaper,http://dbpedia.org/resource/Grim_Reaper_(band),Heavy metal,1979,1988,0
grinderman,http://dbpedia.org/resource/Grinderman,Alternative rock|Garage rock|Noise rock|Psychedelic rock,2006,2011,6
guillemots,http://dbpedia.org/resource/Guillemots_(band),Alternative rock|Indie rock|Indietronica,2004,0,0
h2o,http://dbpedia.org/resource/H2O_(Scottish_band),New wave,1978,1987,0
hagar the womb,http://dbpedia.org/resource/Hagar_the_Womb,Punk rock,1980,1980,0
haircut one hundred,http://dbpedia.org/resource/Haircut_One_Hundred,New wave,1980,1984,1
hank dogs,http://dbpedia.org/resource/Hank_Dogs,Folk rock,1992,0,0
happy mondays,http://dbpedia.org/resource/Happy_Mondays,Alternative rock,1980,1980,0
happy refugees,http://dbpedia.org/resource/Happy_Refugees,Post-punk,1981,1986,0
happyness,http://dbpedia.org/resource/Happyness_(band),Alternative rock,2013,0,1
hard rain,http://dbpedia.org/resource/Hard_Rain_(band),Pop rock|Progressive rock,1996,2000,3
hard-fi,http://dbpedia.org/resource/Hard-Fi,Alternative rock|Indie rock|Indietronica,2003,0,0
harrisons,http://dbpedia.org/resource/Harrisons,Indie rock|Indietronica,2003,2003,0
harsh reality,http://dbpedia.org/resource/Harsh_Reality,Progressive rock,1968,1969,1
haunts,http://dbpedia.org/resource/Haunts_(band),Indie rock|Indietronica|Rock music,2006,2009,0
haven,http://dbpedia.org/resource/Haven_(band),Indie rock|Indietronica,1996,1996,0
hawk eyes,http://dbpedia.org/resource/Hawk_Eyes,Indie rock|Indietronica,2004,2004,0
hawkwind,http://dbpedia.org/resource/Hawkwind,Hard rock|Progressive rock|Proto-punk|Psychedelic rock,1969,0,15
haze,http://dbpedia.org/resource/Haze_(band),Progressive rock,1978,1988,2
headstrong,http://dbpedia.org/resource/Headstrong_(band),Rap rock|Rapcore,1998,1998,1
headswim,http://dbpedia.org/resource/Headswim,Alternative rock|Indie rock|Indietronica,1992,2001,0
headway,http://dbpedia.org/resource/Headway_(band),Alternative rock|Indie rock|Indietronica|Pop rock,2003,0,0
heaven 17,http://dbpedia.org/resource/Heaven_17,New wave,1980,0,0
heaven's basement,http://dbpedia.org/resource/Heaven's_Basement,Alternative rock|Blues rock|Hard rock|Heavy metal,2008,2008,0
heavy metal kids,http://dbpedia.org/resource/Heavy_Metal_Kids,Glam rock|Hard rock|Rock music,1972,1972,0
heavy stereo,http://dbpedia.org/resource/Heavy_Stereo,Alternative rock|Glam rock|Hard rock|Indie rock|Indietronica|Post-punk,1993,0,0
heck,http://dbpedia.org/resource/HECK_(band),Heavy metal,2009,0,1
hefner,http://dbpedia.org/resource/Hefner_(band),Indie rock|Indietronica,1996,2002,6
heliopause,http://dbpedia.org/resource/Heliopause_(band),Post-rock,2006,0,0
hell,http://dbpedia.org/resource/Hell_(band),Heavy metal,1982,1987,0
help she can't swim,http://dbpedia.org/resource/Help_She_Can't_Swim,Art rock|Indie rock|Indietronica,2003,2003,0
help yourself,http://dbpedia.org/resource/Help_Yourself_(band),Country rock|Psychedelic rock,1970,1973,0
helsinki seven,http://dbpedia.org/resource/Helsinki_Seven,Rock music,2006,2006,0
henry cow,http://dbpedia.org/resource/Henry_Cow,Art rock|Experimental rock|Progressive rock,1968,1978,11
henry's final dream,http://dbpedia.org/resource/Henry's_Final_Dream,New wave|Post-punk,1979,1982,0
her name is calla,http://dbpedia.org/resource/Her_Name_Is_Calla,Post-rock,2004,0,0
herman's hermits,http://dbpedia.org/resource/Herman's_Hermits,Beat,1964,0,0
hermitage green,http://dbpedia.org/resource/Hermitage_Green_(band),Folk rock,2010,0,0
hiding place,http://dbpedia.org/resource/Hiding_Place_(band),Alternative rock,2004,2004,0
hip parade,http://dbpedia.org/resource/Hip_Parade,Rock music,2008,0,0
hipsway,http://dbpedia.org/resource/Hipsway,New wave,1984,0,0
hitechjet,http://dbpedia.org/resource/Hitechjet,Indie rock|Indietronica|Punk rock,2001,2006,0
hoggboy,http://dbpedia.org/resource/Hoggboy,Indie rock|Indietronica,2001,2001,0
hold your horse is,http://dbpedia.org/resource/Hold_Your_Horse_Is_(band),Rock music,2008,2014,0
holocaust,http://dbpedia.org/resource/Holocaust_(band),Heavy metal,1977,0,0
hologram,http://dbpedia.org/resource/Hologram_(band),Progressive rock,2011,0,0
honey tongue,http://dbpedia.org/resource/Honey_Tongue,Alternative rock,1992,1992,0
honeyblood,http://dbpedia.org/resource/Honeyblood,Garage rock|Indie rock|Indietronica|Punk rock,2012,0,1
honeybus,http://dbpedia.org/resource/Honeybus,Baroque pop|Beat|Soft rock,1967,1973,0
hood,http://dbpedia.org/resource/Hood_(band),Indie rock|Indietronica|Post-rock,1991,1991,0
hope of the states,http://dbpedia.org/resource/Hope_of_the_States,Alternative rock|Indie rock|Indietronica|Post-rock,2000,2006,0
hot club de paris,http://dbpedia.org/resource/Hot_Club_de_Paris,Experimental rock|Indie rock|Indietronica,2004,2012,0
how to swim,http://dbpedia.org/resource/How_to_Swim_(band),Alternative rock|Art rock|Baroque pop|Indie rock|Indietronica,2000,0,0
howards alias,http://dbpedia.org/resource/Howards_Alias,Progressive rock|Punk rock|Rock music,1999,2005,0
hows my pop,http://dbpedia.org/resource/How's_My_Pop,Indie rock|Indietronica,2005,2010,0
humble pie,http://dbpedia.org/resource/Humble_Pie_(band),Blues rock|Folk rock|Hard rock,1969,0,7
hundred reasons,http://dbpedia.org/resource/Hundred_Reasons,Alternative rock,1999,0,0
hurricane #1,http://dbpedia.org/resource/Hurricane_No._1,Alternative rock,1996,0,0
hurts,http://dbpedia.org/resource/Hurts,New wave|Soft rock,2009,0,0
i am i,http://dbpedia.org/resource/I_Am_I_(band),Hard rock|Heavy metal,2012,0,0
i am kloot,http://dbpedia.org/resource/I_Am_Kloot,Alternative rock|Indie rock|Indietronica,1999,0,0
i concur,http://dbpedia.org/resource/I_Concur,Alternative rock,2007,2007,0
i like trains,http://dbpedia.org/resource/I_Like_Trains,Alternative rock|Post-rock,2004,0,0
i was a cub scout,http://dbpedia.org/resource/I_Was_a_Cub_Scout,Indie rock|Indietronica,2006,2008,0
i'm so hollow,http://dbpedia.org/resource/I'm_So_Hollow,Post-punk,1978,1981,0
ibex,http://dbpedia.org/resource/Ibex_(band),Rock music,1969,1969,1
idlewild,http://dbpedia.org/resource/Idlewild_(band),Alternative rock|Indie rock|Indietronica,1995,2010,15
ikara colt,http://dbpedia.org/resource/Ikara_Colt,Art rock|Garage rock|Indie rock|Indietronica,1999,2005,0
iko,http://dbpedia.org/resource/Iko_(band),Rock music,2005,0,0
illuminatus,http://dbpedia.org/resource/Illuminatus_(band),Heavy metal,2002,2002,0
in camera,http://dbpedia.org/resource/In_Camera_(band),Post-punk,1978,1978,0
in case of fire,http://dbpedia.org/resource/In_Case_of_Fire,Alternative rock|Progressive rock,2005,2012,0
inca babies,http://dbpedia.org/resource/Inca_Babies,Post-punk,2011,2011,0
indigo moss,http://dbpedia.org/resource/Indigo_Moss,Alternative rock,2005,2008,0
infa riot,http://dbpedia.org/resource/Infa_Riot,Punk rock,1980,1985,0
infadels,http://dbpedia.org/resource/Infadels,Indie rock|Indietronica,2003,2012,0
inme,http://dbpedia.org/resource/InMe,Alternative rock|Hard rock|Progressive rock,1996,1996,0
inspiral carpets,http://dbpedia.org/resource/Inspiral_Carpets,Alternative rock|Indie rock|Indietronica,1983,1995,5
instigators,http://dbpedia.org/resource/Instigators,Punk rock,1980,1980,0
intastella,http://dbpedia.org/resource/Intastella,Alternative rock,1985,1985,0
interrogate,http://dbpedia.org/resource/Interrogate_(band),Hard rock|Heavy metal,1999,0,0
interview,http://dbpedia.org/resource/Interview_(band),Pop rock,1977,1977,10
into the woods,http://dbpedia.org/resource/Into_the_Woods_(band),Hard rock|Heavy metal,2006,2009,6
io,http://dbpedia.org/resource/Io_(English_band),Experimental rock,2006,0,0
ipso facto,http://dbpedia.org/resource/Ipso_Facto_(English_band),Post-punk,2007,2009,0
iron claw,http://dbpedia.org/resource/Iron_Claw_(band),Hard rock|Heavy metal,1969,1974,0
iron maiden,http://dbpedia.org/resource/Iron_Maiden,Heavy metal,1975,0,59
isaac's aircraft,http://dbpedia.org/resource/Isaac's_Aircraft,Indie rock|Indietronica,2008,2012,0
it bites,http://dbpedia.org/resource/It_Bites,Art rock|Pop rock|Progressive rock,1984,1984,0
ivory hours,http://dbpedia.org/resource/Ivory_Hours,Indie rock|Indietronica,2012,2012,0
ivyrise,http://dbpedia.org/resource/Ivyrise,Rock music,2009,0,0
jack,http://dbpedia.org/resource/Jack_(band),Alternative rock|Baroque pop,1992,2002,0
jack lukeman,http://dbpedia.org/resource/Jack_Lukeman,Alternative rock,1997,0,0
jackdaw with crowbar,http://dbpedia.org/resource/Jackdaw_with_Crowbar,Rock music,1986,1986,0
jackson analogue,http://dbpedia.org/resource/Jackson_Analogue,Alternative rock,2005,2005,0
jackviper,http://dbpedia.org/resource/Jackviper,Hard rock,2005,2009,0
jacob's mouse,http://dbpedia.org/resource/Jacob's_Mouse,Indie rock|Indietronica,1991,1991,0
james,http://dbpedia.org/resource/James_(band),Alternative rock|Post-punk,1982,2001,0
jameson raid,http://dbpedia.org/resource/Jameson_Raid_(band),Hard rock|Heavy metal,1975,1975,0
jamie n commons,http://dbpedia.org/resource/Jamie_N_Commons,Alternative rock|Blues rock,2011,0,0
japan,http://dbpedia.org/resource/Japan_(band),Glam rock|New wave|Post-punk,1974,1982,0
jaws,http://dbpedia.org/resource/Jaws_(band),Alternative rock|Surf music,2012,0,4
jenova reunion,http://dbpedia.org/resource/Jenova_Reunion,Psychedelic rock|Rock music,2006,0,0
jesu,http://dbpedia.org/resource/Jesu,Post-rock,2003,2003,0
jesus jones,http://dbpedia.org/resource/Jesus_Jones,Alternative rock,1988,0,13
jet,http://dbpedia.org/resource/Jet_(UK_band),Glam rock|Pop rock,1974,1976,0
jets to zurich,http://dbpedia.org/resource/Jets_to_Zurich,Alternative rock,2009,0,0
joanna gruesome,http://dbpedia.org/resource/Joanna_Gruesome,Punk rock,2010,0,2
joboxers,http://dbpedia.org/resource/JoBoxers,New wave|Pop rock,1982,1985,0
john's children,http://dbpedia.org/resource/John's_Children,Psychedelic rock,1966,1968,0
johnny foreigner,http://dbpedia.org/resource/Johnny_Foreigner,Indie rock|Indietronica|Punk rock,2006,0,0
johnny hates jazz,http://dbpedia.org/resource/Johnny_Hates_Jazz,New wave,1985,1992,0
johnny moped,http://dbpedia.org/resource/Johnny_Moped,Punk rock,1976,1978,0
johnny panic,http://dbpedia.org/resource/Johnny_Panic,Alternative rock|Punk rock,2002,0,0
josef k,http://dbpedia.org/resource/Josef_K_(band),Post-punk,1979,1982,0
journey south,http://dbpedia.org/resource/Journey_South,Pop rock|Rock music,2005,2015,0
joy division,http://dbpedia.org/resource/Joy_Division,Post-punk,1976,1980,112
judas priest,http://dbpedia.org/resource/Judas_Priest,Heavy metal,1969,0,55
july,http://dbpedia.org/resource/July_(band),Psychedelic rock,1968,1969,0
junior's eyes,http://dbpedia.org/resource/Junior's_Eyes_(band),Folk rock|Progressive rock|Psychedelic rock,1968,1970,0
jurojin,http://dbpedia.org/resource/Jurojin_(band),Experimental rock|Heavy metal,2008,0,0
kaiser chiefs,http://dbpedia.org/resource/Kaiser_Chiefs,Indie rock|Indietronica|New wave,2000,0,8
kajagoogoo,http://dbpedia.org/resource/Kajagoogoo,New wave|Pop rock,1978,1985,4
kaleidoscope,http://dbpedia.org/resource/Kaleidoscope_(UK_band),Folk rock|Psychedelic rock,1967,1970,9
karnataka,http://dbpedia.org/resource/Karnataka_(band),Progressive rock|Rock music,1997,2004,0
kasabian,http://dbpedia.org/resource/Kasabian,Alternative rock|Indie rock|Indietronica,1997,0,9
kassidy,http://dbpedia.org/resource/Kassidy,Alternative rock|Folk rock|Indie rock|Indietronica,2009,2014,0
kava kava,http://dbpedia.org/resource/Kava_Kava_(band),Rock music,1993,0,0
keane,http://dbpedia.org/resource/Keane_(band),Pop rock,1995,0,0
keith,http://dbpedia.org/resource/Keith_(band),Alternative rock|Indie rock|Indietronica|Rock music,2002,2009,0
kenickie,http://dbpedia.org/resource/Kenickie,Alternative rock|Power pop,1994,1998,0
kenny,http://dbpedia.org/resource/Kenny_(band),Glam rock,1974,1974,0
kid british,http://dbpedia.org/resource/Kid_British,Indie rock|Indietronica,2007,2012,0
kid canaveral,http://dbpedia.org/resource/Kid_Canaveral,Alternative rock|Indie rock|Indietronica,2005,0,0
kids in glass houses,http://dbpedia.org/resource/Kids_in_Glass_Houses,Alternative rock|Indie rock|Indietronica|Pop rock,2003,2014,0
kids love lies,http://dbpedia.org/resource/Kids_Love_Lies,Power pop,2007,2010,0
kill kenada,http://dbpedia.org/resource/Kill_Kenada,Alternative rock|Indie rock|Indietronica,2001,2001,0
killing joke,http://dbpedia.org/resource/Killing_Joke,Industrial rock|New wave|Post-punk,1978,1996,6
kinesis,http://dbpedia.org/resource/Kinesis_(band),Alternative rock,2000,2005,1
king,http://dbpedia.org/resource/King_(new_wave_band),New wave,1984,1986,0
king adora,http://dbpedia.org/resource/King_Adora,Glam rock|Indie rock|Indietronica|Pop rock,1998,1998,0
king of the slums,http://dbpedia.org/resource/King_of_the_Slums,Alternative rock,1991,1991,0
king prawn,http://dbpedia.org/resource/King_Prawn_(band),Heavy metal,1993,1993,0
king swamp,http://dbpedia.org/resource/King_Swamp,Rock music,1988,1990,0
kingmaker,http://dbpedia.org/resource/Kingmaker_(band),Indie rock|Indietronica,1990,0,1
kinky machine,http://dbpedia.org/resource/Kinky_Machine,Indie rock|Indietronica,1991,1991,1
kiss of the gypsy,http://dbpedia.org/resource/Kiss_of_the_Gypsy,Rock music,1990,1993,0
klak tik,http://dbpedia.org/resource/Klak_Tik,Alternative rock,2008,0,0
klaxons,http://dbpedia.org/resource/Klaxons,Indie rock|Indietronica,2005,2015,10
kloq,http://dbpedia.org/resource/KLOQ_(band),Alternative rock|Indie rock|Indietronica|Punk rock,2005,0,0
knifeworld,http://dbpedia.org/resource/Knifeworld,Alternative rock|Progressive rock|Psychedelic rock,2002,0,0
koopa,http://dbpedia.org/resource/Koopa_(band),Indie rock|Indietronica,2000,0,0
krankschaft,http://dbpedia.org/resource/Krankschaft,Progressive rock|Psychedelic rock|Rock music,1986,0,0
kyte,http://dbpedia.org/resource/Kyte,Post-rock|Rock music,2007,0,0
la roux,http://dbpedia.org/resource/La_Roux,New wave,2006,0,8
lafaro,http://dbpedia.org/resource/LaFaro,Alternative rock|Punk rock,2004,2014,1
land,http://dbpedia.org/resource/Land_(Worship_band),Folk rock|Roots rock,1997,2000,5
larrikin love,http://dbpedia.org/resource/Larrikin_Love,Indie rock|Indietronica,2005,2005,1
larry lurex,http://dbpedia.org/resource/Larry_Lurex,Pop rock,1973,1973,0
lazarus clamp,http://dbpedia.org/resource/Lazarus_Clamp,Punk rock,1994,1994,0
le chat noir,http://dbpedia.org/resource/Le_Chat_Noir_(band),Garage rock|Punk rock,2006,0,0
leaf hound,http://dbpedia.org/resource/Leaf_Hound,Blues rock|Hard rock|Psychedelic rock,1969,1971,0
leatherface,http://dbpedia.org/resource/Leatherface_(band),Punk rock,1988,1994,2
let loose,http://dbpedia.org/resource/Let_Loose,Pop rock,1993,1996,0
let's wrestle,http://dbpedia.org/resource/Let's_Wrestle,Indie rock|Indietronica,2005,2015,0
level 42,http://dbpedia.org/resource/Level_42,Dance-rock|New wave,1980,1994,0
levitation,http://dbpedia.org/resource/Levitation_(band),Alternative rock|Indie rock|Indietronica|Psychedelic rock,1990,1994,2
lewsor,http://dbpedia.org/resource/Lewsor,Punk rock,2005,0,0
