band,link,genres,start_year,end_year
atreyu,http://dbpedia.org/resource/Atreyu,Hard rock,1998,2011
atticus,http://dbpedia.org/resource/Atticus_(band),Alternative rock|Power pop|Progressive rock,1995,0
audio learning center,http://dbpedia.org/resource/Audio_Learning_Center,Rock music,1998,1998
augustines,http://dbpedia.org/resource/Augustines_(band),Alternative rock|Indie rock|Indietronica,2010,2016
autolux,http://dbpedia.org/resource/Autolux,Alternative rock|Experimental rock,2001,2001
automatic man,http://dbpedia.org/resource/Automatic_Man,Jazz fusion|Jazz rock|Progressive rock,1976,1978
aztlan underground,http://dbpedia.org/resource/Aztlan_Underground,Alternative rock|Experimental rock,1989,1989
b.a.l.l.,http://dbpedia.org/resource/B.A.L.L.,Alternative rock,1987,1990
backstabbers incorporated,http://dbpedia.org/resource/Backstabbers_Incorporated,Heavy metal,2000,0
bad city,http://dbpedia.org/resource/Bad_City,Hard rock,2008,2008
bad religion,http://dbpedia.org/resource/List_of_Bad_Religion_band_members,Punk rock,1980,1980
badfish,http://dbpedia.org/resource/Badfish,Alternative rock,2001,0
balance,http://dbpedia.org/resource/Balance_(band),Hard rock,1980,1983
bermuda triangle band,http://dbpedia.org/resource/Bermuda_Triangle_Band,Folk rock|Pop rock|Psychedelic rock,1967,0
blessid union of souls,http://dbpedia.org/resource/Blessid_Union_of_Souls,Alternative rock,1990,0
bo donaldson and the heywoods,http://dbpedia.org/resource/Bo_Donaldson_and_The_Heywoods,Garage rock,1965,1965
bobby and the midnites,http://dbpedia.org/resource/Bobby_and_the_Midnites,Rock music,1980,1984
bomb the music industry!,http://dbpedia.org/resource/Bomb_the_Music_Industry!,Indie rock|Indietronica|Punk rock,2004,2014
boneless children foundation,http://dbpedia.org/resource/Boneless_Children_Foundation,Indie rock|Indietronica,2003,2003
bridges and powerlines,http://dbpedia.org/resource/Bridges_and_Powerlines,Indie rock|Indietronica,2006,0
butch engle & the styx,http://dbpedia.org/resource/Butch_Engle_&_the_Styx,Folk rock|Garage rock|Pop rock,1963,1968
captain bogg and salty,http://dbpedia.org/resource/Captain_Bogg_and_Salty,Rock music,1999,1999
cat mother and the all night newsboys,http://dbpedia.org/resource/Cat_Mother_&_the_All_Night_Newsboys,Country rock|Rock music,1967,1967
children of the anachronistic dynasty,http://dbpedia.org/resource/Children_of_the_Anachronistic_Dynasty,Industrial rock|Post-punk,1986,1987
chris robinson brotherhood,http://dbpedia.org/resource/Chris_Robinson_Brotherhood,Blues rock|Psychedelic rock,2011,0
cobalt & the hired guns,http://dbpedia.org/resource/Cobalt_&_the_Hired_Guns,Rock music,2003,0
col. bruce hampton and the aquarium rescue unit,http://dbpedia.org/resource/Col._Bruce_Hampton_and_the_Aquarium_Rescue_Unit,Jazz fusion|Jazz rock|Progressive rock|Rock music,1988,1988
"crosby, stills, nash & young","http://dbpedia.org/resource/Crosby,_Stills,_Nash_&_Young",Country rock|Folk rock|Rock music,1968,2016
cross canadian ragweed,http://dbpedia.org/resource/Cross_Canadian_Ragweed,Alternative rock|Country rock|Heartland rock|Southern rock,1994,2010
dave brockie experience,http://dbpedia.org/resource/Dave_Brockie_Experience,Heavy metal|Punk rock,2001,2012
dave matthews & friends,http://dbpedia.org/resource/Dave_Matthews_&_Friends,Rock music,2003,2006
days between stations,http://dbpedia.org/resource/Days_Between_Stations,Art rock|Progressive rock|Psychedelic rock,2003,0
deadboy & the elephantmen,http://dbpedia.org/resource/Deadboy_&_the_Elephantmen,Indie rock|Indietronica,2000,2007
eastern conference champions,http://dbpedia.org/resource/Eastern_Conference_Champions,Indie rock|Indietronica,2005,0
edie brickell & new bohemians,http://dbpedia.org/resource/Edie_Brickell_&_New_Bohemians,Alternative rock|Folk rock|Southern rock,1985,0
elizabeth & the catapult,http://dbpedia.org/resource/Elizabeth_&_the_Catapult,Indie rock|Indietronica,2004,2004
ellen and the escapades,http://dbpedia.org/resource/Ellen_and_the_Escapades,Pop rock,2009,0
enation (currently jonathan jackson + enation),http://dbpedia.org/resource/Enation_(band),Alternative rock|Indie rock|Indietronica|Pop rock,2002,0
every mother's nightmare,http://dbpedia.org/resource/Every_Mother's_Nightmare,Hard rock,1987,1987
flying other brothers,http://dbpedia.org/resource/Flying_Other_Brothers,Rock music,1997,2007
future clouds and radar,http://dbpedia.org/resource/Future_Clouds_and_Radar,Power pop,2006,0
gideon smith & the dixie damned,http://dbpedia.org/resource/Gideon_Smith_&_the_Dixie_Damned,Hard rock|Southern rock,1996,0
grace potter and the nocturnals,http://dbpedia.org/resource/Grace_Potter_and_the_Nocturnals,Blues rock|Folk rock|Hard rock|Roots rock,2002,0
hammers of misfortune,http://dbpedia.org/resource/Hammers_of_Misfortune,Heavy metal,2000,0
henry flynt & the insurrections,http://dbpedia.org/resource/Henry_Flynt_&_the_Insurrections,Experimental rock|Folk rock|Garage rock|Proto-punk,1966,1966
hiss golden messenger,http://dbpedia.org/resource/Hiss_Golden_Messenger,Country rock,2007,0
i can lick any sonofabitch in the house,http://dbpedia.org/resource/I_Can_Lick_Any_Sonofabitch_in_the_House,Punk rock|Southern rock,2001,0
j. roddy walston and the business,http://dbpedia.org/resource/J_Roddy_Walston_and_the_Business,Hard rock|Roots rock|Southern rock,2002,0
jc brooks and the uptown sound,http://dbpedia.org/resource/JC_Brooks_&_the_Uptown_Sound,Indie rock|Indietronica|Post-punk|Punk rock,2007,0
joe frank and the knights,http://dbpedia.org/resource/Joe_Frank_and_the_Knights,Garage rock,1959,1965
johnny maestro & the brooklyn bridge,http://dbpedia.org/resource/Johnny_Maestro_&_the_Brooklyn_Bridge,Rock music,1968,2010
johnny vomit & the dry heaves,http://dbpedia.org/resource/Johnny_Vomit_&_The_Dry_Heaves,Garage rock,1993,1993
kevorkian death cycle,http://dbpedia.org/resource/Kevorkian_Death_Cycle,Industrial rock,1996,1996
lifesavers underground,http://dbpedia.org/resource/Lifesavers_Underground,New wave|Post-punk|Rock music,1986,1986
machines of loving grace,http://dbpedia.org/resource/Machines_of_Loving_Grace,Industrial rock,1989,1997
mel gibson and the pants,http://dbpedia.org/resource/Mel_Gibson_and_the_Pants,Indie rock|Indietronica,2004,0
mike mains & the branches,http://dbpedia.org/resource/Mike_Mains_&_The_Branches,Indie rock|Indietronica,2009,0
more machine than man,http://dbpedia.org/resource/More_Machine_Than_Man,Industrial rock,1999,0
motion city soundtrack,http://dbpedia.org/resource/Motion_City_Soundtrack,Alternative rock|Indie rock|Indietronica,1997,2016
new riders of the purple sage,http://dbpedia.org/resource/New_Riders_of_the_Purple_Sage,Country rock,1969,1969
our daughters wedding,http://dbpedia.org/resource/Our_Daughter's_Wedding,New wave,1980,1984
paul revere & the raiders,http://dbpedia.org/resource/Paul_Revere_&_the_Raiders,Garage rock|Pop rock,1958,1976
phenomenal handclap band,http://dbpedia.org/resource/Phenomenal_Handclap_Band,Alternative rock|Indie rock|Indietronica,2008,0
rage against the machine,http://dbpedia.org/resource/Rage_Against_the_Machine,Rap rock|Rapcore,1991,2000
rocket transfer warehouse,http://dbpedia.org/resource/Rocket_Transfer_Warehouse,Pop rock|Rock music,1997,0
royal southern brotherhood,http://dbpedia.org/resource/Royal_Southern_Brotherhood,Blues rock,2011,0
seven storey mountain,http://dbpedia.org/resource/Seven_Storey_Mountain,Alternative rock|Indie rock|Indietronica,1994,1994
sister sparrow & the dirty birds,http://dbpedia.org/resource/Sister_Sparrow_and_the_Dirty_Birds,Rock music,2008,2008
slash featuring myles kennedy and the conspirators,http://dbpedia.org/resource/List_of_Slash_band_members,Hard rock|Heavy metal,2009,2009
spirits and the melchizedek children,http://dbpedia.org/resource/Spirits_and_the_Melchizedek_Children,Psychedelic rock,2009,0
stick men with ray guns,http://dbpedia.org/resource/Stick_Men_with_Ray_Guns,Punk rock,1981,1988
streetlight manifesto,http://dbpedia.org/resource/Streetlight_Manifesto,Punk rock,2002,0
sweet diss and the comebacks,http://dbpedia.org/resource/Sweet_Diss_and_the_Comebacks,Power pop,2005,2005
thao & the get down stay down,http://dbpedia.org/resource/Thao_&_the_Get_Down_Stay_Down,Alternative rock|Folk rock,2003,0
the ant trip ceremony,http://dbpedia.org/resource/The_Ant_Trip_Ceremony,Psychedelic rock,1967,1968
the bastard kings of rock,http://dbpedia.org/resource/The_Bastard_Kings_of_Rock,Rock music,2001,2004
the beautiful mistake,http://dbpedia.org/resource/The_Beautiful_Mistake,Rock music,2000,2006
the black math experiment,http://dbpedia.org/resource/The_Black_Math_Experiment,Alternative rock,2004,0
the bronx casket company,http://dbpedia.org/resource/The_Bronx_Casket_Co.,Heavy metal,1998,1998
the cancer conspiracy,http://dbpedia.org/resource/The_Cancer_Conspiracy,Progressive rock,2001,2003
the chambers brothers,http://dbpedia.org/resource/The_Chambers_Brothers,Psychedelic rock|Rock music,1954,1972
the david lee roth band,http://dbpedia.org/resource/The_David_Lee_Roth_Band,Hard rock|Heavy metal,1986,2006
the dreamscapes project,http://dbpedia.org/resource/The_Dreamscapes_Project,Rock music,1997,2014
the druids of stonehenge,http://dbpedia.org/resource/The_Druids_of_Stonehenge_(band),Garage rock|Psychedelic rock,1965,1969
the flyin' ryan brothers,http://dbpedia.org/resource/The_Flyin'_Ryan_Brothers,Progressive rock,1995,1995
the ghastly ones (band),http://dbpedia.org/resource/Ghastly_Ones,Garage rock|Surf music,1996,0
the ghost and the grace,http://dbpedia.org/resource/The_Ghost_and_the_Grace,Indie rock|Indietronica,2009,2009
the great american beast,http://dbpedia.org/resource/The_Great_American_Beast,Southern rock,2002,2010
the green and yellow tv,http://dbpedia.org/resource/Green_and_Yellow_TV,Indie rock|Indietronica|Power pop,1999,2006
the honeymoon killers,http://dbpedia.org/resource/The_Honeymoon_Killers_(American_band),Blues rock|Garage rock|Noise rock|Punk rock,1984,1994
the human switchboard,http://dbpedia.org/resource/Human_Switchboard,Alternative rock|Indie rock|Indietronica|New wave,1977,1977
the innocence mission,http://dbpedia.org/resource/The_Innocence_Mission,Alternative rock|Folk rock,1985,0
the jealous girlfriends,http://dbpedia.org/resource/The_Jealous_Girlfriends,Alternative rock|Rock music,2003,0
the jon spencer blues explosion,http://dbpedia.org/resource/Jon_Spencer_Blues_Explosion,Alternative rock|Blues rock|Garage rock,1991,0
the last internationale,http://dbpedia.org/resource/The_Last_Internationale,Alternative rock|Blues rock|Hard rock,2008,0
the lewallen brothers,http://dbpedia.org/resource/The_Lewallen_Brothers,Folk rock|Garage rock,1962,1981
the lighthouse and the whaler,http://dbpedia.org/resource/The_Lighthouse_and_The_Whaler,Indie rock|Indietronica,2008,0
the luminescent orchestrii,http://dbpedia.org/resource/The_Luminescent_Orchestrii,Punk rock,2002,2012
the mamas & the papas,http://dbpedia.org/resource/The_Mamas_&_the_Papas,Folk rock,1965,1968
the marshall tucker band,http://dbpedia.org/resource/The_Marshall_Tucker_Band,Country rock|Roots rock|Southern rock,1972,0
the marshmallow overcoat,http://dbpedia.org/resource/The_Marshmallow_Overcoat,Garage rock,1986,1996
the peppermint trolley company,http://dbpedia.org/resource/Peppermint_Trolley_Company,Baroque pop|Folk rock,1966,1968
the polyamorous affair,http://dbpedia.org/resource/The_Polyamorous_Affair,Alternative rock|Indie rock|Indietronica,2008,0
the prize fighter inferno,http://dbpedia.org/resource/The_Prize_Fighter_Inferno,Experimental rock|Folk rock,1999,1999
the receiving end of sirens,http://dbpedia.org/resource/The_Receiving_End_of_Sirens,Experimental rock|Progressive rock,2003,2008
the red jumpsuit apparatus,http://dbpedia.org/resource/The_Red_Jumpsuit_Apparatus,Alternative rock,2003,0
the showcase showdown,http://dbpedia.org/resource/Showcase_Showdown_(band),Punk rock,1993,2000
the simms brothers band,http://dbpedia.org/resource/The_Simms_Brothers_Band,Rock music,1975,1982
the through & through gospel review,http://dbpedia.org/resource/The_Through_&_Through_Gospel_Review,Indie rock|Indietronica,2011,0
toad the wet sprocket,http://dbpedia.org/resource/Toad_the_Wet_Sprocket,Alternative rock,1986,1998
tom petty and the heartbreakers,http://dbpedia.org/resource/Tom_Petty_and_the_Heartbreakers,Blues rock|Hard rock|Heartland rock|Rock music,1976,0
unextraordinary gentlemen,http://dbpedia.org/resource/Unextraordinary_Gentlemen,Art rock|Experimental rock|Post-punk,2007,0
unknown mortal orchestra,http://dbpedia.org/resource/Unknown_Mortal_Orchestra,Garage rock|Indie rock|Indietronica|Psychedelic rock,2010,0
"volcano, i'm still excited!!","http://dbpedia.org/resource/Volcano,_I'm_Still_Excited!!",Alternative rock,2002,0
zach williams & the reformation,http://dbpedia.org/resource/Zach_Williams_&_The_Reformation,Blues rock|Southern rock,2007,2012
*shels,http://dbpedia.org/resource/*shels,Post-rock|Progressive rock,2003,0
1000 homo djs,http://dbpedia.org/resource/1000_Homo_DJs,Industrial rock,1988,1988
1208,http://dbpedia.org/resource/1208_(band),Punk rock,1994,1994
13 & god,http://dbpedia.org/resource/13_&_God,Indie rock|Indietronica,2003,0
1313 mockingbird lane,http://dbpedia.org/resource/1313_Mockingbird_Lane,Garage rock,1989,1996
white collar sideshow,http://dbpedia.org/resource/White_Collar_Sideshow,Industrial rock,2007,0
zolof the rock & roll destroyer,http://dbpedia.org/resource/Zolof_the_Rock_&_Roll_Destroyer,Indie rock|Indietronica|Power pop,2000,2000
38 special,http://dbpedia.org/resource/38_Special_(band),Blues rock|Country rock|Hard rock|Southern rock,1974,0
3d friends,http://dbpedia.org/resource/3D_Friends,Indie rock|Indietronica,2009,0
40 below summer,http://dbpedia.org/resource/40_Below_Summer,Hard rock,1998,2005
54 seconds,http://dbpedia.org/resource/54_Seconds,Alternative rock|Power pop|Psychedelic rock,1998,0
6gig,http://dbpedia.org/resource/6Gig,Hard rock|Progressive rock,2000,2000
a change of pace,http://dbpedia.org/resource/A_Change_of_Pace,Alternative rock,2001,2011
a hope for home,http://dbpedia.org/resource/A_Hope_for_Home,Post-rock,2006,0
aarktica,http://dbpedia.org/resource/Aarktica,Post-rock,1998,1998
amazing (royal) crowns,http://dbpedia.org/resource/Amazing_Crowns,Punk rock,1993,0
black country communion,http://dbpedia.org/resource/Black_Country_Communion,Blues rock|Hard rock,2009,2013
27,http://dbpedia.org/resource/27_(band),Indie rock|Indietronica,1997,0
707,http://dbpedia.org/resource/707_(band),Hard rock|Pop rock|Rock music,1977,1983
a cursive memory,http://dbpedia.org/resource/A_Cursive_Memory,Alternative rock|Indie rock|Indietronica|Rock music,2006,2012
a dream too late,http://dbpedia.org/resource/A_Dream_Too_Late,Experimental rock,2007,2011
a good fight,http://dbpedia.org/resource/A_Good_Fight,Alternative rock|Pop rock|Power pop,2006,2015
a minor revolution,http://dbpedia.org/resource/A_Minor_Revolution,Punk rock,2007,2007
a ragamuffin band,http://dbpedia.org/resource/A_Ragamuffin_Band,Rock music,1993,1993
a roman scandal,http://dbpedia.org/resource/A_Roman_Scandal_(band),Indie rock|Indietronica,1999,1999
a shoreline dream,http://dbpedia.org/resource/A_Shoreline_Dream,Indie rock|Indietronica|Post-rock,2005,0
a sound of thunder,http://dbpedia.org/resource/A_Sound_of_Thunder_(band),Hard rock|Heavy metal,2008,2012
abigail's ghost,http://dbpedia.org/resource/Abigail's_Ghost,Alternative rock|Progressive rock,2003,0
acid horse,http://dbpedia.org/resource/Acid_Horse,Industrial rock,1989,1989
act as if,http://dbpedia.org/resource/Act_As_If,Indie rock|Indietronica,2010,0
action swingers,http://dbpedia.org/resource/Action_Swingers,Indie rock|Indietronica,1980,1998
ad astra per aspera,http://dbpedia.org/resource/Ad_Astra_per_Aspera_(band),Indie rock|Indietronica|Noise rock|Punk rock,2001,0
addison road,http://dbpedia.org/resource/Addison_Road_(band),Alternative rock|Rock music,2002,2012
adelitas way,http://dbpedia.org/resource/Adelitas_Way,Hard rock,2006,0
adler's appetite,http://dbpedia.org/resource/Adler's_Appetite,Hard rock|Heavy metal,2003,2006
