band,link,genres,start_year,end_year
adler,http://dbpedia.org/resource/Adler_(band),Hard rock,2011,0
empire! empire! (i was a lonely estate),http://dbpedia.org/resource/Empire!_Empire!_(I_Was_a_Lonely_Estate),Indie rock|Indietronica,2006,2016
harry slash & the slashtones,http://dbpedia.org/resource/Harry_Slash_&_The_Slashtones,Hard rock|Heavy metal,1993,0
hi fi and the roadburners,http://dbpedia.org/resource/Hi-Fi_and_the_Roadburners,Punk rock,1984,2011
high watt crucifixers,http://dbpedia.org/resource/High_Watt_Crucifixers,Hard rock,2007,0
i love you but i've chosen darkness,http://dbpedia.org/resource/I_Love_You_but_I've_Chosen_Darkness,Indie rock|Indietronica,2003,0
jackie-o motherfucker,http://dbpedia.org/resource/Jackie-O_Motherfucker,Experimental rock|Post-rock,1994,0
john cafferty and the beaver brown band,http://dbpedia.org/resource/John_Cafferty_&_The_Beaver_Brown_Band,Heartland rock|Rock music,1972,0
larry and the blue notes,http://dbpedia.org/resource/Larry_and_the_Blue_Notes,Garage rock,1962,1968
london after midnight,http://dbpedia.org/resource/London_After_Midnight_(band),Alternative rock|Industrial rock,1990,0
lothar and the hand people,http://dbpedia.org/resource/Lothar_and_the_Hand_People,Psychedelic rock,1965,1970
manitoba's wild kingdom,http://dbpedia.org/resource/Manitoba's_Wild_Kingdom,Hard rock|Heavy metal|Punk rock,1986,1991
marchfourth marching band,http://dbpedia.org/resource/MarchFourth_Marching_Band,Rock music,2003,2003
maylene and the sons of disaster,http://dbpedia.org/resource/Maylene_and_the_Sons_of_Disaster,Heavy metal|Southern rock,2004,0
michael anthony franano,http://dbpedia.org/resource/Michael_Anthony_Franano,Alternative rock|Pop rock,1984,0
michael franti & spearhead,http://dbpedia.org/resource/Michael_Franti__&_Spearhead__1,Rock music,1994,0
michael jordan touchdown pass,http://dbpedia.org/resource/Pat_The_Bunny_Schneeweis__Michael_Jordan_Touchdown_Pass__1,Pop rock,2005,0
neighb'rhood childr'n,http://dbpedia.org/resource/Neighb'rhood_Childr'n,Garage rock|Psychedelic rock,1963,1963
outlaws of ravenhurst,http://dbpedia.org/resource/Outlaws_of_Ravenhurst,Hard rock|Heavy metal|Progressive rock,2005,0
phil lesh and friends,http://dbpedia.org/resource/Phil_Lesh_and_Friends,Folk rock|Psychedelic rock|Rock music,1994,1994
pianos become the teeth,http://dbpedia.org/resource/Pianos_Become_the_Teeth,Post-rock,2006,0
planes mistaken for stars,http://dbpedia.org/resource/Planes_Mistaken_for_Stars,Punk rock,1997,2008
queens of the stone age,http://dbpedia.org/resource/Queens_of_the_Stone_Age,Alternative rock|Hard rock,1996,0
randy and the radiants,http://dbpedia.org/resource/Randy_and_the_Radiants,Garage rock,1962,1966
red hot chili peppers,http://dbpedia.org/resource/List_of_Red_Hot_Chili_Peppers_band_members,Alternative rock|Funk rock|Rap rock|Rapcore,1983,0
reform the resistance,http://dbpedia.org/resource/Reform_the_Resistance,Rap rock|Rapcore,2007,0
remote control frequenices,http://dbpedia.org/resource/Remote_Control_Frequencies,Psychedelic rock,2000,0
rossington collins band,http://dbpedia.org/resource/Rossington_Collins_Band,Blues rock|Hard rock|Southern rock,1979,1979
sarah lee guthrie & johnny irion,http://dbpedia.org/resource/Sarah_Lee_Guthrie_&_Johnny_Irion,Country rock,2000,0
sleepytime gorilla museum,http://dbpedia.org/resource/Sleepytime_Gorilla_Museum,Experimental rock|Progressive rock,1999,1999
small towns burn a little slower,http://dbpedia.org/resource/Small_Towns_Burn_a_Little_Slower,Rock music,2002,2002
southern culture on the skids,http://dbpedia.org/resource/Southern_Culture_on_the_Skids,Alternative rock|Experimental rock|Surf music,1983,1983
southside johnny & the asbury jukes,http://dbpedia.org/resource/Southside_Johnny_and_the_Asbury_Jukes,Heartland rock|Rock music,1975,0
stevie ray vaughan and double trouble,http://dbpedia.org/resource/Stevie_Ray_Vaughan_live_performances,Blues rock,1983,1990
swearing at motorists,http://dbpedia.org/resource/Swearing_at_Motorists,Indie rock|Indietronica,1995,0
taking dawn / devils run,http://dbpedia.org/resource/Taking_Dawn,Heavy metal,2007,0
the all-american rejects,http://dbpedia.org/resource/The_All-American_Rejects,Alternative rock|Pop rock|Power pop,1999,0
the amazing rhythm aces,http://dbpedia.org/resource/Amazing_Rhythm_Aces,Country rock|Soft rock|Southern rock,1974,1981
the austerity program,http://dbpedia.org/resource/The_Austerity_Program,Industrial rock|Noise rock,1997,0
the black and white years,http://dbpedia.org/resource/The_Black_and_White_Years,Art rock|Indie rock|Indietronica|New wave,2006,2006
the black-eyed snakes,http://dbpedia.org/resource/Black_Eyed_Snakes,Rock music,1999,1999
the bobby fuller four,http://dbpedia.org/resource/The_Bobby_Fuller_Four,Proto-punk,1962,1966
the brilliant mistakes,http://dbpedia.org/resource/The_Brilliant_Mistakes,Rock music,1994,0
the chocolate watchband,http://dbpedia.org/resource/The_Chocolate_Watchband,Garage rock|Psychedelic rock,1965,1970
the danny joe brown band,http://dbpedia.org/resource/The_Danny_Joe_Brown_Band,Southern rock,1980,1982
the depreciation guild,http://dbpedia.org/resource/The_Depreciation_Guild,Post-rock,2005,2005
the derek trucks band,http://dbpedia.org/resource/The_Derek_Trucks_Band,Blues rock|Southern rock,1994,2010
the dillinger escape plan,http://dbpedia.org/resource/The_Dillinger_Escape_Plan,Experimental rock,1997,2017
the dillinger escape plan,http://dbpedia.org/resource/List_of_The_Dillinger_Escape_Plan_band_members,Experimental rock,1997,1997
the enigmatic foe (jared colinger),http://dbpedia.org/resource/Jared_Colinger,New wave|Rock music,2001,2001
the flying luttenbachers,http://dbpedia.org/resource/The_Flying_Luttenbachers,Noise rock,1991,2007
the hugh beaumont experience,http://dbpedia.org/resource/The_Hugh_Beaumont_Experience,Punk rock,1980,0
the killer and the star,http://dbpedia.org/resource/The_Killer_and_the_Star,Alternative rock,2006,0
the new power generation,http://dbpedia.org/resource/The_New_Power_Generation,Funk rock|New wave|Psychedelic rock|Rock music,1990,2013
the new transit direction,http://dbpedia.org/resource/The_New_Transit_Direction,Indie rock|Indietronica,2000,0
the plot to blow up the eiffel tower,http://dbpedia.org/resource/The_Plot_to_Blow_Up_the_Eiffel_Tower,Noise rock|Post-punk,2001,2001
the reigning monarchs,http://dbpedia.org/resource/The_Reigning_Monarchs,Punk rock,2007,0
the shadows of knight,http://dbpedia.org/resource/The_Shadows_of_Knight,Blues rock|Garage rock,1964,1975
the sloppy meateaters,http://dbpedia.org/resource/Sloppy_Meateaters,Alternative rock|Punk rock,1999,2006
the smashing pumpkins,http://dbpedia.org/resource/The_Smashing_Pumpkins,Alternative rock,1988,2000
the super happy fun club,http://dbpedia.org/resource/The_Super_Happy_Fun_Club,Alternative rock|Power pop,2010,0
the swingin' medallions,http://dbpedia.org/resource/The_Swingin'_Medallions,Rock music,1962,1962
the west coast pop art experimental band,http://dbpedia.org/resource/The_West_Coast_Pop_Art_Experimental_Band,Psychedelic rock,1965,1965
the world/inferno friendship society,http://dbpedia.org/resource/The_World/Inferno_Friendship_Society,Punk rock,1996,0
them crooked vultures,http://dbpedia.org/resource/Them_Crooked_Vultures,Blues rock|Hard rock|Psychedelic rock,2009,2010
to live and shave in l.a. (tlasila),http://dbpedia.org/resource/To_Live_and_Shave_in_L.A.,Experimental rock,1993,2007
trapper schoepp & the shades,http://dbpedia.org/resource/Trapper_Schoepp_&_The_Shades,Rock music,2008,0
trey anastasio backing musicians,http://dbpedia.org/resource/Backing_musicians_for_Trey_Anastasio,Jazz fusion|Jazz rock|Progressive rock|Rock music,1999,1999
trout fishing in america,http://dbpedia.org/resource/Trout_Fishing_in_America_(band),Folk rock,1979,0
vas deferens organization,http://dbpedia.org/resource/Vas_Deferens_Organization,Experimental rock|Noise rock|Psychedelic rock,1994,0
yacht and the straight gaze,http://dbpedia.org/resource/Yacht_(band),Alternative rock,2002,2002
1997,http://dbpedia.org/resource/1997_(band),Alternative rock|Pop rock,2005,2010
3 doors down,http://dbpedia.org/resource/3_Doors_Down,Alternative rock|Hard rock,1996,0
3rd alley,http://dbpedia.org/resource/3rd_Alley,Alternative rock,2004,0
a great big world,http://dbpedia.org/resource/A_Great_Big_World,Pop rock,2011,0
a thorn for every heart,http://dbpedia.org/resource/A_Thorn_for_Every_Heart,Alternative rock|Rock music,2003,2009
bain mattox and shot from guns,http://dbpedia.org/resource/Bain_Mattox,Indie rock|Indietronica,2002,2002
bruce hornsby and the range,http://dbpedia.org/resource/Bruce_Hornsby__and_the_Range__1,Pop rock|Rock music|Soft rock,1984,1991
abecedarians,http://dbpedia.org/resource/Abecedarians_(band),New wave|Post-punk,1983,0
acroma,http://dbpedia.org/resource/Acroma_(band),Alternative rock|Rock music,1999,2004
actors&actresses,http://dbpedia.org/resource/Actors&Actresses,Post-rock,2005,0
aerodrone,http://dbpedia.org/resource/Aerodrone,New wave|Rock music,2005,2005
aerosmith,http://dbpedia.org/resource/Aerosmith,Blues rock|Hard rock|Heavy metal,1970,0
aftermath,http://dbpedia.org/resource/Aftermath_(American_band),Heavy metal,1985,1996
against me!,http://dbpedia.org/resource/Against_Me!,Alternative rock|Punk rock,1997,0
agent 51,http://dbpedia.org/resource/Agent_51,Punk rock,1995,2005
agent orange,http://dbpedia.org/resource/Agent_Orange_(band),Punk rock,1979,0
ahleuchatistas,http://dbpedia.org/resource/Ahleuchatistas,Progressive rock,2003,0
airiel,http://dbpedia.org/resource/Airiel,Psychedelic rock,1997,0
alabama,http://dbpedia.org/resource/Alabama_(band),Country rock|Soft rock|Southern rock,1969,2004
all that remains,http://dbpedia.org/resource/All_That_Remains_(band),Heavy metal,1998,0
all together separate,http://dbpedia.org/resource/All_Together_Separate,Funk rock,1997,2003
allstar weekend,http://dbpedia.org/resource/Allstar_Weekend,Pop rock,2008,2013
aloke,http://dbpedia.org/resource/ALOKE,Alternative rock|Indie rock|Indietronica,2004,2009
american pearl,http://dbpedia.org/resource/American_Pearl,Hard rock,1997,2002
american wrestlers,http://dbpedia.org/resource/American_Wrestlers,Indie rock|Indietronica,2014,0
among the thirsty,http://dbpedia.org/resource/Among_the_Thirsty,Pop rock,2005,0
an epic no less,http://dbpedia.org/resource/An_Epic_No_Less,Pop rock,2009,0
angel,http://dbpedia.org/resource/Angel_(rock_band),Heavy metal,1990,1992
angel city outcasts,http://dbpedia.org/resource/Angel_City_Outcasts,Punk rock,2002,0
annuals,http://dbpedia.org/resource/Annuals_(band),Alternative rock|Experimental rock|Indie rock|Indietronica,2003,0
antennas up,http://dbpedia.org/resource/Antennas_Up,Rock music,2008,2008
anthem lights,http://dbpedia.org/resource/Anthem_Lights,Pop rock,2007,0
anti-scrunti faction,http://dbpedia.org/resource/Anti-Scrunti_Faction,Punk rock,1984,1985
antietam,http://dbpedia.org/resource/Antietam_(band),Indie rock|Indietronica,1984,1996
anywhere,http://dbpedia.org/resource/Anywhere_(band),Progressive rock|Psychedelic rock,2010,0
apollo up!,http://dbpedia.org/resource/Apollo_Up!,Alternative rock|Indie rock|Indietronica|Punk rock,2002,2002
archers rise,http://dbpedia.org/resource/Archers_Rise,Experimental rock,2009,0
arckid,http://dbpedia.org/resource/Arckid,Alternative rock|Glam rock,2005,2008
areola 51,http://dbpedia.org/resource/Areola_51,Punk rock,2002,2002
arms,http://dbpedia.org/resource/ARMS_(band),Alternative rock|Indie rock|Indietronica,2004,0
astra,http://dbpedia.org/resource/Astra_(band),Progressive rock|Psychedelic rock,2006,0
at latl,http://dbpedia.org/resource/At_Latl,Alternative rock,2007,0
blackfoot gypsies,http://dbpedia.org/resource/Blackfoot_Gypsies,Blues rock|Folk rock|Hard rock|Indie rock|Indietronica|Punk rock|Southern rock,2010,2010
bobby joe ebola and the children macnuggits,http://dbpedia.org/resource/Bobby_Joe_Ebola_and_the_Children_MacNuggits,Punk rock,1995,2000
carl sturken and evan rogers,http://dbpedia.org/resource/Carl_Sturken_and_Evan_Rogers,Dance-rock|Rock music,1980,0
doop and the inside outlaws,http://dbpedia.org/resource/Doop_and_the_Inside_Outlaws,Roots rock,2007,0
dr. spec's optical illuison,http://dbpedia.org/resource/Dr._Spec's_Optical_Illusion,Garage rock|Proto-punk,1965,1968
high school football heroes,http://dbpedia.org/resource/High_School_Football_Heroes,Punk rock,2001,2001
if these trees could talk,http://dbpedia.org/resource/If_These_Trees_Could_Talk,Post-rock,2005,0
kind of like spitting,http://dbpedia.org/resource/Kind_of_Like_Spitting,Indie rock|Indietronica,1996,1996
knights of the new crusade,http://dbpedia.org/resource/Knights_of_the_New_Crusade,Garage rock|Punk rock,1999,0
lovecraft / love craft,http://dbpedia.org/resource/H._P._Lovecraft_(band),Folk rock|Psychedelic rock|Rock music,1967,1969
sly and the family stone,http://dbpedia.org/resource/Sly_and_the_Family_Stone,Rock music,1967,1983
terry knight and the pack,http://dbpedia.org/resource/Terry_Knight_and_the_Pack,Garage rock|Pop rock|Rock music,1965,1967
the brian jonestown massacre,http://dbpedia.org/resource/The_Brian_Jonestown_Massacre,Folk rock|Garage rock|Psychedelic rock,1990,0
"thumb|the elders (band) at the dublin irish festival, in dublin ohio, 2012",http://dbpedia.org/resource/The_Elders_(band),Folk rock|Rock music,1998,0
twelve gauge valentine,http://dbpedia.org/resource/Twelve_Gauge_Valentine,Southern rock,2003,2008
anti-flag,http://dbpedia.org/resource/Anti-Flag,Punk rock,1988,1989
bedlight for blue eyes,http://dbpedia.org/resource/BEDlight_for_BlueEYES,Alternative rock|Pop rock,2004,2009
ernie and the automatics,http://dbpedia.org/resource/Ernie_and_the_Automatics,Blues rock,2004,2011
the fe-fi-four plus 2,http://dbpedia.org/resource/The_Fe-Fi-Four_Plus_2,Garage rock|Psychedelic rock,1966,1968
the north atlantic invasion force,http://dbpedia.org/resource/The_North_Atlantic_Invasion_Force_(band),Folk rock|Garage rock,1964,1969
the presidents of the united states of america,http://dbpedia.org/resource/The_Presidents_of_the_United_States_of_America_(band),Alternative rock|Post-punk,1993,1998
the radioactive chicken heads,http://dbpedia.org/resource/The_Radioactive_Chicken_Heads,Punk rock,1994,1994
the show is the rainbow,http://dbpedia.org/resource/The_Show_Is_the_Rainbow,Indie rock|Indietronica|Rap rock|Rapcore,2003,0
the unrelated segments,http://dbpedia.org/resource/The_Unrelated_Segments,Garage rock|Proto-punk,1966,1969
the womack family band,http://dbpedia.org/resource/The_Womack_Family_Band,Folk rock,2008,2008
thinking fellers union local 282,http://dbpedia.org/resource/Thinking_Fellers_Union_Local_282,Experimental rock|Indie rock|Indietronica|Noise rock,1986,2001
thunderbirds are now!,http://dbpedia.org/resource/Thunderbirds_Are_Now!,Indie rock|Indietronica|New wave|Noise rock,2002,2009
venus and the razorblades,http://dbpedia.org/resource/Venus_and_the_Razorblades,Punk rock,1976,1978
? and the mysterians,http://dbpedia.org/resource/%3F_and_the_Mysterians,Garage rock|Proto-punk,1962,0
a common year,http://dbpedia.org/resource/A_Common_Year,Alternative rock,2009,0
a perfect circle,http://dbpedia.org/resource/A_Perfect_Circle,Alternative rock|Art rock|Hard rock|Progressive rock,1999,2004
abandon kansas,http://dbpedia.org/resource/Abandon_Kansas,Alternative rock,2005,0
abunai!,http://dbpedia.org/resource/Abunai!,Folk rock|Psychedelic rock,1996,2002
asylum street spankers,http://dbpedia.org/resource/Asylum_Street_Spankers,Roots rock,1994,2011
from monument to masses,http://dbpedia.org/resource/From_Monument_to_Masses,Post-punk|Post-rock,2000,2010
rocket from the crypt,http://dbpedia.org/resource/Rocket_from_the_Crypt,Punk rock,1989,2005
the kentucky headhunters,http://dbpedia.org/resource/The_Kentucky_Headhunters,Country rock|Southern rock,1968,1982
the midnight ghost train,http://dbpedia.org/resource/The_Midnight_Ghost_Train,Blues rock|Hard rock|Heavy metal|Rock music|Southern rock,2008,0
the sound of animals fighting,http://dbpedia.org/resource/The_Sound_of_Animals_Fighting,Art rock|Experimental rock|Progressive rock,2004,2009
the united travel service,http://dbpedia.org/resource/The_United_Travel_Service,Garage rock|Psychedelic rock,1966,1969
thirty seconds to mars,http://dbpedia.org/resource/Thirty_Seconds_to_Mars,Alternative rock,1998,0
this will destroy you,http://dbpedia.org/resource/This_Will_Destroy_You,Post-rock,2004,2004
under the influence of giants,http://dbpedia.org/resource/Under_the_Influence_of_Giants,Alternative rock|Indie rock|Indietronica,2004,2008
white trash debutantes,http://dbpedia.org/resource/White_Trash_Debutantes,Punk rock,1989,1989
world entertainment war,http://dbpedia.org/resource/World_Entertainment_War,Funk rock,1986,1993
…and you will know us by the trail of dead,http://dbpedia.org/resource/...And_You_Will_Know_Us_by_the_Trail_of_Dead,Alternative rock|Art rock|Indie rock|Indietronica|Noise rock|Progressive rock,1994,0
a wilhelm scream,http://dbpedia.org/resource/A_Wilhelm_Scream,Punk rock,1999,0
adam faucett,http://dbpedia.org/resource/Adam_Faucett,Folk rock,2006,0
akron/family,http://dbpedia.org/resource/Akron/Family,Experimental rock|Psychedelic rock,2002,2013
alcian blue,http://dbpedia.org/resource/Alcian_Blue_(band),New wave,1998,2006
algiers,http://dbpedia.org/resource/Algiers_(band),Art rock|Experimental rock|Noise rock|Post-punk,2007,0
alive like me,http://dbpedia.org/resource/Alive_Like_Me,Alternative rock,2013,2013
all time low,http://dbpedia.org/resource/All_Time_Low,Pop rock|Power pop,2003,0
alpha rev,http://dbpedia.org/resource/Alpha_Rev,Alternative rock,2005,2005
alter natives,http://dbpedia.org/resource/Alter_Natives,Jazz fusion|Jazz rock|Punk rock,1984,1991
anamanaguchi,http://dbpedia.org/resource/Anamanaguchi,Rock music,2004,0
anberlin,http://dbpedia.org/resource/Anberlin,Alternative rock,1998,2014
antarctigo vespucci,http://dbpedia.org/resource/Antarctigo_Vespucci,Indie rock|Indietronica|Power pop,2014,0
apollonia 6,http://dbpedia.org/resource/Apollonia_6,New wave|Rock music,1983,1985
army navy,http://dbpedia.org/resource/Army_Navy_(band),Indie rock|Indietronica|Power pop,2004,0
army of freshmen,http://dbpedia.org/resource/Army_of_Freshmen,Alternative rock|Power pop,1997,0
as yet unbroken,http://dbpedia.org/resource/As_Yet_Unbroken,Alternative rock,2007,0
ashbury,http://dbpedia.org/resource/Ashbury_(band),Alternative rock,2005,2005
asobi seksu,http://dbpedia.org/resource/Asobi_Seksu,Indie rock|Indietronica,2001,2001
atomic opera,http://dbpedia.org/resource/Atomic_Opera,Hard rock,1991,1991
attention,http://dbpedia.org/resource/Attention_(band),Alternative rock,2001,2001
attila,http://dbpedia.org/resource/Attila_(rock_band),Hard rock|Heavy metal|Progressive rock|Psychedelic rock,1969,1970
austin & lindsey adamec,http://dbpedia.org/resource/Austin_&_Lindsey_Adamec,Folk rock|Indie rock|Indietronica,2016,0
black moth super rainbow,http://dbpedia.org/resource/Black_Moth_Super_Rainbow,Psychedelic rock,2003,0
england dan & john ford coley,http://dbpedia.org/resource/England_Dan_&_John_Ford_Coley,Pop rock|Soft rock,1970,1980
g. love & special sauce,http://dbpedia.org/resource/G._Love_&_Special_Sauce,Alternative rock|Blues rock,1992,1992
margot & the nuclear so and so's,http://dbpedia.org/resource/Margot_&_the_Nuclear_So_and_So's,Alternative rock|Folk rock|Indie rock|Indietronica|Punk rock,2004,0
spottiswoode & his enemies,http://dbpedia.org/resource/Spottiswoode_&_His_Enemies,Alternative rock|Rock music,1998,0
the age of information,http://dbpedia.org/resource/The_Age_of_Information,Alternative rock|Soft rock,2003,0
the cimmeron show review,http://dbpedia.org/resource/Cimmeron_Show_Review,Pop rock,1972,1979
the compulsive gamblers,http://dbpedia.org/resource/Compulsive_Gamblers,Garage rock,1990,1990
the ozark mountain daredevils,http://dbpedia.org/resource/The_Ozark_Mountain_Daredevils,Country rock|Southern rock,1972,0
"wildling (previously test your reflex, no country, and a.k.a. low shoulder)",http://dbpedia.org/resource/Wildling_(band),Alternative rock|Indie rock|Indietronica,2004,2004
band of horses,http://dbpedia.org/resource/Band_of_Horses,Alternative rock|Folk rock|Indie rock|Indietronica|Southern rock,2004,0
blue fringe,http://dbpedia.org/resource/Blue_Fringe,Pop rock,2001,0
caldera,http://dbpedia.org/resource/Caldera_(band),Jazz fusion|Jazz rock,1976,1976
further seems forever,http://dbpedia.org/resource/Further_Seems_Forever,Indie rock|Indietronica,1998,2006
a band of orcs,http://dbpedia.org/resource/A_Band_of_Orcs,Heavy metal,2006,0
arborea,http://dbpedia.org/resource/Arborea_(band),Indie rock|Indietronica,2005,0
assassin,http://dbpedia.org/resource/Assassin_(band),Hard rock|Heavy metal,1983,1986
audio adrenaline,http://dbpedia.org/resource/Audio_Adrenaline,Alternative rock,1986,2007
audio karate,http://dbpedia.org/resource/Audio_Karate,Alternative rock|Indie rock|Indietronica,1995,2005
aug,http://dbpedia.org/resource/Aug_(band),Hard rock|Heavy metal,2008,0
autobody,http://dbpedia.org/resource/Autobody,Noise rock,1995,1995
avail,http://dbpedia.org/resource/Avail,Punk rock,1987,2008
avengers,http://dbpedia.org/resource/Avengers_(band),Punk rock,1977,1979
avi & celia,http://dbpedia.org/resource/Avi_&_Celia,Rock music,2003,2009
b3,http://dbpedia.org/resource/B3_(band),Pop rock,2001,2004
baby shakes,http://dbpedia.org/resource/Baby_Shakes,Power pop|Punk rock|Rock music,2005,2005
babylon,http://dbpedia.org/resource/Babylon_(band),Progressive rock,1976,1978
bad credit,http://dbpedia.org/resource/Bad_Credit,Rap rock|Rapcore,2002,2008
bad rabbits,http://dbpedia.org/resource/Bad_Rabbits,Funk rock,2007,0
bad suns,http://dbpedia.org/resource/Bad_Suns,Alternative rock|Indie rock|Indietronica,2012,0
bad veins,http://dbpedia.org/resource/Bad_Veins,Alternative rock|Indie rock|Indietronica,2007,0
ballyhoo!,http://dbpedia.org/resource/Ballyhoo!,Alternative rock|Pop rock|Punk rock|Reggae rock,1995,0
balmorhea,http://dbpedia.org/resource/Balmorhea_(band),Post-rock,2006,2006
bang camaro,http://dbpedia.org/resource/Bang_Camaro,Hard rock|Heavy metal,2005,0
banner pilot,http://dbpedia.org/resource/Banner_Pilot,Punk rock,2005,0
baptized by fire,http://dbpedia.org/resource/Baptized_By_Fire_(band),Rock music,2006,0
bardo pond,http://dbpedia.org/resource/Bardo_Pond,Noise rock|Post-rock,1991,0
barefoot truth,http://dbpedia.org/resource/Barefoot_Truth,Rock music,2005,2012
barely blind,http://dbpedia.org/resource/Barely_Blind,Alternative rock|Indie rock|Indietronica|Rock music,2003,2003
barkmarket,http://dbpedia.org/resource/Barkmarket,Noise rock,1987,1997
baron grod,http://dbpedia.org/resource/Baron_Grod,Experimental rock|Post-rock,2007,2007
bas clas,http://dbpedia.org/resource/Bas_Clas,Rock music,1976,1991
battalion of saints,http://dbpedia.org/resource/Battalion_of_Saints,Punk rock,1980,1985
baumer,http://dbpedia.org/resource/Baumer_(band),Indie rock|Indietronica|New wave,2003,2008
be your own pet,http://dbpedia.org/resource/Be_Your_Own_Pet,Alternative rock,2004,2008
beacon street union,http://dbpedia.org/resource/Beacon_Street_Union,Blues rock|Garage rock|Psychedelic rock,1966,1969
bear hands,http://dbpedia.org/resource/Bear_Hands,Experimental rock|Indie rock|Indietronica|Post-punk,2006,0
bear in heaven,http://dbpedia.org/resource/Bear_in_Heaven,Experimental rock|Indie rock|Indietronica,2003,0
beat circus,http://dbpedia.org/resource/Beat_Circus,Alternative rock|Experimental rock,2002,2002
beatnik termites,http://dbpedia.org/resource/Beatnik_Termites,Punk rock,1987,0
beautiful skin,http://dbpedia.org/resource/Beautiful_Skin,Post-punk,1997,2001
before you exit,http://dbpedia.org/resource/Before_You_Exit,Pop rock,2007,0
bell hollow,http://dbpedia.org/resource/Bell_Hollow,Alternative rock,2003,2009
belle adair,http://dbpedia.org/resource/Belle_Adair,Indie rock|Indietronica,2011,0
benedictum,http://dbpedia.org/resource/Benedictum,Heavy metal,2005,0
benton falls,http://dbpedia.org/resource/Benton_Falls,Rock music,2000,2000
berlin,http://dbpedia.org/resource/Berlin_(band),New wave,1978,1987
beverly,http://dbpedia.org/resource/Beverly_(band),Indie rock|Indietronica,2013,0
beyond fear,http://dbpedia.org/resource/Beyond_Fear,Heavy metal,2005,0
big boys,http://dbpedia.org/resource/Big_Boys,Funk rock|Punk rock,1979,1979
big japan,http://dbpedia.org/resource/Big_Japan,Indie rock|Indietronica,2005,2005
big talk,http://dbpedia.org/resource/Big_Talk,Country rock|Indie rock|Indietronica,2011,0
big wreck,http://dbpedia.org/resource/Big_Wreck,Alternative rock|Hard rock,1994,2002
bile,http://dbpedia.org/resource/Bile_(band),Industrial rock,1992,1992
black camaro,http://dbpedia.org/resource/Black_Camaro,Alternative rock|Indie rock|Indietronica,2003,0
black light burns,http://dbpedia.org/resource/Black_Light_Burns,Alternative rock|Industrial rock,2005,2016
black snake moan,http://dbpedia.org/resource/Black_Snake_Moan_(band),Industrial rock,1997,0
black stone cherry,http://dbpedia.org/resource/Black_Stone_Cherry,Hard rock|Southern rock,2001,0
black tide,http://dbpedia.org/resource/Black_Tide,Hard rock|Heavy metal,2004,2016
black wine,http://dbpedia.org/resource/Black_Wine,Punk rock,2009,0
blackjack billy,http://dbpedia.org/resource/Blackjack_Billy,Country rock,2009,0
blacklisted,http://dbpedia.org/resource/Blacklisted_(band),Experimental rock,2003,0
blake babies,http://dbpedia.org/resource/Blake_Babies,Alternative rock,1986,1992
blind illusion,http://dbpedia.org/resource/Blind_Illusion,Progressive rock,1979,1989
blink.,http://dbpedia.org/resource/Blink._(band),Jazz fusion|Jazz rock,2006,0
bliss 66,http://dbpedia.org/resource/Bliss_66,Alternative rock|Pop rock,1997,1997
bloodcow,http://dbpedia.org/resource/Bloodcow,Heavy metal,2000,2000
blue cheer,http://dbpedia.org/resource/Blue_Cheer,Blues rock|Hard rock|Heavy metal|Psychedelic rock,1967,1972
blue giant,http://dbpedia.org/resource/Blue_Giant_(band),Indie rock|Indietronica|Psychedelic rock,2008,0
blue tears,http://dbpedia.org/resource/Blue_Tears,Hard rock,1983,1983
blues and lasers,http://dbpedia.org/resource/Blues_and_Lasers,Rock music,2007,0
blues project,http://dbpedia.org/resource/Blues_Project,Psychedelic rock|Rock music,1965,1968
blues traveler,http://dbpedia.org/resource/Blues_Traveler,Blues rock|Psychedelic rock|Rock music,1987,0
bobb trimble,http://dbpedia.org/resource/Bobb_Trimble,Psychedelic rock,1980,1986
bonerama,http://dbpedia.org/resource/Bonerama,Funk rock,1998,0
boris the sprinkler,http://dbpedia.org/resource/Boris_the_Sprinkler,Punk rock,1992,2003
boris yeltsin,http://dbpedia.org/resource/Someone_Still_Loves_You_Boris_Yeltsin,Alternative rock,1999,0
bourbon crow,http://dbpedia.org/resource/Bourbon_Crow,Country rock|Folk rock,2005,0
boys life,http://dbpedia.org/resource/Boy's_Life_(band),Indie rock|Indietronica,1993,1993
brainchild,http://dbpedia.org/resource/Brainchild_(band),Progressive rock|Rock music,1969,1969
brazos,http://dbpedia.org/resource/Brazos_(band),Indie rock|Indietronica,2007,2007
bread,http://dbpedia.org/resource/Bread_(band),Soft rock,1968,1968
bread of stone,http://dbpedia.org/resource/Bread_of_Stone,Pop rock,2004,0
breakfast club,http://dbpedia.org/resource/Breakfast_Club_(band),New wave,1979,1990
breathing walker,http://dbpedia.org/resource/Breathing_Walker,Experimental rock|Psychedelic rock,1990,1991
brecker brothers,http://dbpedia.org/resource/Brecker_Brothers,Jazz fusion|Jazz rock,1974,1974
brewster productions,http://dbpedia.org/resource/Brewster_Productions,Alternative rock|Indie rock|Indietronica|Punk rock,2007,0
brick + mortar,http://dbpedia.org/resource/Brick_+_Mortar,Alternative rock|Dance-rock|Indie rock|Indietronica,2008,0
bride,http://dbpedia.org/resource/Bride_(band),Hard rock|Heavy metal,1983,2013
bridge to grace,http://dbpedia.org/resource/Bridge_to_Grace,Hard rock,2012,0
